Tiempo,Corriente,Temperatura,Corriente2
0.0004161,0.000136802409,20.21,0.136802409
1.1148838,0.00013688534,20.17,0.13688534
2.1339161,0.000136886214,20.21,0.136886214
3.1531927,0.000136937247,20.21,0.136937247
4.1728077,0.000136857022,20.17,0.136857022
5.1925676,0.000136812916,20.11,0.136812916
6.2124696,0.000136883201,19.99,0.136883201
7.2328131,0.000136908493,20.09,0.136908493
8.2524301,0.000136950315,20.17,0.136950315
9.2719155,0.000137130962,20.17,0.137130962
10.2939061,0.000136989983,20.09,0.136989983
11.3175393,0.000137095878,20.01,0.137095878
12.3369974,0.000137177194,19.99,0.137177194
13.3564825,0.000137253562,20.01,0.137253562
14.3753828,0.000137256429,20.11,0.137256429
15.3950826,0.000137344526,20.15,0.137344526
16.4145517,0.000137523762,20.11,0.137523762
17.4347419,0.000137580092,20.01,0.137580092
18.4545977,0.00013757724,20.17,0.13757724
19.4742763,0.000137646828,20.11,0.137646828
20.4932652,0.00013780815,19.99,0.13780815
21.5130046,0.000137861206,19.95,0.137861206
22.532897,0.000137797673,19.99,0.137797673
23.5521195,0.000137830575,20.01,0.137830575
24.5714159,0.000137881128,20.09,0.137881128
25.5909681,0.000138035422,20.05,0.138035422
26.6117773,0.000138173956,20.09,0.138173956
27.6316752,0.00013823279,20.09,0.13823279
28.6522321,0.000138338116,20.05,0.138338116
29.6716584,0.000138430375,20.01,0.138430375
30.6923503,0.000138517105,20.05,0.138517105
31.712049,0.000138634481,20.01,0.138634481
32.7326118,0.000138795468,20.01,0.138795468
33.7529323,0.000138808522,20.05,0.138808522
34.7730743,0.000138810355,19.99,0.138810355
35.7933532,0.000138708986,20.11,0.138708986
36.8126215,0.000138788571,20.09,0.138788571
37.831985,0.000138747171,20.11,0.138747171
38.8527785,0.000138882664,20.11,0.138882664
39.8723404,0.000138618866,20.11,0.138618866
40.8920234,0.00013848496,20.05,0.13848496
41.910849,0.00013858093,20.05,0.13858093
42.9299786,0.000138597286,20.05,0.138597286
43.9498101,0.000138622417,20.05,0.138622417
44.9690276,0.000138584058,19.99,0.138584058
45.9889067,0.000138554823,20.09,0.138554823
47.0087752,0.000148721213,20.01,0.148721213
48.0289312,0.0108198281,20.01,10.8198281
49.0488901,0.018835958,20.01,18.835958
50.164147,0.0241424478,20.05,24.1424478
51.1840734,0.0241428036,20.01,24.1428036
52.2035773,0.0241427272,20.05,24.1427272
53.2238634,0.02414334,19.93,24.14334
54.2436625,0.0241437256,20.01,24.1437256
55.2637454,0.024143381,20.05,24.143381
56.2840636,0.0241440106,20.11,24.1440106
57.3045894,0.0241445302,19.93,24.1445302
58.3245776,0.0241448506,20.09,24.1448506
59.3442881,0.0241455677,20.01,24.1455677
60.3637079,0.0241463184,19.99,24.1463184
61.383136,0.0241368245,20.09,24.1368245
62.4030263,0.0241470653,20.05,24.1470653
63.4225458,0.0241478905,20.01,24.1478905
64.4429448,0.0241391267,20.05,24.1391267
65.4623568,0.0241496581,20.01,24.1496581
66.4816165,0.024137523,20.11,24.137523
67.5009667,0.0241357032,20.05,24.1357032
68.5213878,0.0241362378,20.11,24.1362378
69.5421727,0.0241360496,20.09,24.1360496
70.5619306,0.0241367742,20.05,24.1367742
71.5820551,0.0241517014,20.01,24.1517014
72.6026045,0.024137238,20.09,24.137238
73.6218579,0.0241372939,20.05,24.1372939
74.6413458,0.0241525936,20.05,24.1525936
75.6603868,0.0241528078,20.05,24.1528078
76.6797982,0.0241534169,20.09,24.1534169
77.6989423,0.0241528246,20.05,24.1528246
78.7191148,0.0241528023,19.99,24.1528023
79.7384115,0.0241527017,20.01,24.1527017
80.7581323,0.0241531953,20.05,24.1531953
81.7779359,0.0241537932,19.99,24.1537932
82.7968168,0.0241697747,20.05,24.1697747
83.8167658,0.0321904942,20.01,32.1904942
84.836593,0.0429227799,20.05,42.9227799
85.8561767,0.0482252612,19.99,48.2252612
86.8760912,0.0482278652,20.01,48.2278652
87.8951716,0.0482311397,20.05,48.2311397
88.9151504,0.0482344292,20.05,48.2344292
89.9344798,0.0482301637,20.09,48.2301637
90.9542489,0.0482339449,20.01,48.2339449
91.9738611,0.0482346378,20.09,48.2346378
92.9938808,0.0482362918,20.09,48.2362918
94.014199,0.048238188,20.09,48.238188
95.0340909,0.0482399724,19.99,48.2399724
96.0537324,0.0482456423,20.01,48.2456423
97.0742268,0.0482444986,19.99,48.2444986
98.0939301,0.0482473596,19.99,48.2473596
99.1138546,0.0482482798,20.05,48.2482798
100.1545534,0.048249334,19.95,48.249334
101.1749758,0.0482485257,20.05,48.2485257
102.1955827,0.0482470355,20.09,48.2470355
103.243944,0.0482471175,20.01,48.2471175
104.264312,0.0482515506,19.95,48.2515506
105.2837975,0.0509856082,20.09,50.9856082
106.3354908,0.0590188503,20.01,59.0188503
107.3552969,0.0670111551,20.05,67.0111551
108.3743359,0.0722979232,20.05,72.2979232
109.4227222,0.0723118111,20.05,72.3118111
110.4427359,0.0723101869,20.01,72.3101869
111.4616968,0.0722815021,20.05,72.2815021
112.511824,0.0722855255,20.09,72.2855255
113.5314274,0.0722926408,20.01,72.2926408
114.5509502,0.072328329,20.09,72.328329
115.5708325,0.0723288133,20.09,72.3288133
116.5914701,0.0723336338,20.09,72.3336338
117.6105204,0.0723353102,20.01,72.3353102
118.630622,0.0723349824,20.17,72.3349824
119.6509032,0.0723372176,20.01,72.3372176
120.7369359,0.0723453164,20.05,72.3453164
121.7562306,0.0723465532,20.09,72.3465532
122.8397368,0.0723387897,20.11,72.3387897
123.8596961,0.0723419263,20.09,72.3419263
124.8792337,0.0723424404,20.15,72.3424404
125.9277015,0.072343178,20.01,72.343178
126.9469947,0.0723396316,20.05,72.3396316
127.9661035,0.0723429545,20.15,72.3429545
129.0260957,0.0723433867,20.05,72.3433867
130.0458849,0.0723425447,20.05,72.3425447
131.0665706,0.0723024383,20.05,72.3024383
132.1349202,0.0723032206,20.01,72.3032206
133.1547797,0.0723453462,20.09,72.3453462
134.1749959,0.0723501816,20.09,72.3501816
135.2207825,0.0723588019,20.11,72.3588019
136.2399857,0.07236097,20.09,72.36097
137.2598341,0.0723613947,20.05,72.3613947
138.2798574,0.0723675563,20.15,72.3675563
139.2993071,0.0723552927,20.05,72.3552927
140.3931408,0.0723592489,20.05,72.3592489
141.4130578,0.0723602622,19.99,72.3602622
142.4326468,0.0723485797,20.15,72.3485797
143.5000253,0.0723500475,20.15,72.3500475
144.5201841,0.0723538994,20.01,72.3538994
145.5405854,0.072355315,20.11,72.355315
146.5980181,0.0723219215,20.15,72.3219215
147.6180132,0.0723528861,20.09,72.3528861
148.6380106,0.0723599269,20.01,72.3599269
149.6574476,0.0751030892,20.09,75.1030892
150.6780104,0.0858962982,20.09,85.8962982
151.6982465,0.0939920246,20.01,93.9920246
152.7184613,0.0966198295,20.09,96.6198295
153.7376131,0.0966340377,20.05,96.6340377
154.7645268,0.0966497361,20.09,96.6497361
155.7843316,0.0966589674,20.11,96.6589674
156.8048171,0.0966631993,20.09,96.6631993
157.8723732,0.0966718196,20.09,96.6718196
158.8927348,0.0966763719,20.11,96.6763719
159.9123298,0.0966728553,20.11,96.6728553
160.932931,0.0966736152,20.11,96.6736152
161.9523054,0.0966760814,20.17,96.6760814
162.9712793,0.0966773405,20.15,96.6773405
163.990757,0.0966800525,20.11,96.6800525
165.0102393,0.0966779962,20.11,96.6779962
166.0924748,0.0966855585,20.11,96.6855585
167.112017,0.0966911613,20.11,96.6911613
168.1789504,0.102194182,20.09,102.194182
169.1989931,0.11031264,20.11,110.31264
170.218937,0.118372127,20.15,118.372127
171.2844883,0.127006247,20.11,127.006247
172.3998061,0.127121925,20.09,127.121925
173.4189167,0.12735413,20.11,127.35413
174.4387393,0.127480834,20.09,127.480834
175.4596626,0.127834767,20.01,127.834767
176.4800078,0.127684265,20.15,127.684265
177.4998125,0.127691283,20.15,127.691283
178.5188204,0.127635821,20.15,127.635821
179.5384006,0.12765412,20.09,127.65412
180.5582917,0.127672448,20.21,127.672448
181.5873908,0.127700001,20.15,127.700001
182.6068897,0.128654301,20.15,128.654301
183.6262888,0.128664538,20.09,128.664538
184.6458937,0.128695011,20.09,128.695011
185.6656635,0.127725213,20.01,127.725213
186.6860433,0.127601474,20.09,127.601474
187.7059957,0.127576127,20.09,127.576127
188.7901684,0.127601101,20.11,127.601101
189.8104232,0.127612426,20.15,127.612426
190.8302553,0.127565309,20.15,127.565309
191.8907971,0.127766698,20.09,127.766698
192.9098835,0.137242391,20.15,137.242391
193.9297054,0.148272827,20.09,148.272827
194.9850047,0.155714184,20.17,155.714184
196.0048546,0.155656278,20.15,155.656278
197.0252181,0.155392289,20.05,155.392289
198.0441572,0.155516952,20.21,155.516952
199.0643885,0.155438333,20.15,155.438333
200.0842393,0.155760675,20.17,155.760675
201.1040518,0.155462637,20.15,155.462637
202.1237763,0.155575245,20.17,155.575245
203.2048682,0.155715242,20.01,155.715242
204.2256199,0.155864223,20.15,155.864223
205.3036949,0.15592949,20.15,155.92949
206.3234877,0.155864253,20.17,155.864253
207.3438679,0.15587756,20.09,155.87756
208.398996,0.155873179,20.17,155.873179
209.418801,0.159885659,20.21,159.885659
210.4381143,0.168089598,20.11,168.089598
211.4905632,0.173804804,20.15,173.804804
212.5104354,0.173872098,20.11,173.872098
213.529589,0.173957556,20.17,173.957556
214.5722401,0.17405574,20.21,174.05574
215.5922481,0.174030661,20.15,174.030661
216.6123777,0.174259975,20.17,174.259975
217.6581051,0.174304202,20.15,174.304202
218.678168,0.174317359,20.21,174.317359
219.6973367,0.174172282,20.17,174.172282
220.7570989,0.174117714,20.15,174.117714
221.7761898,0.174170285,20.17,174.170285
222.7961185,0.174262762,20.15,174.262762
223.8164285,0.174245297,20.17,174.245297
224.8362941,0.174326032,20.17,174.326032
225.8590471,0.174519121,20.17,174.519121
226.8790325,0.182756945,20.17,182.756945
227.8997199,0.186603769,20.21,186.603769
228.9817988,0.193535342,20.21,193.535342
230.0011847,0.193481206,20.17,193.481206
231.0726781,0.193581268,20.21,193.581268
232.0926088,0.193528845,20.21,193.528845
233.1122508,0.193656951,20.21,193.656951
234.164974,0.193703636,20.21,193.703636
235.1844532,0.193721354,20.21,193.721354
236.2040035,0.193729758,20.21,193.729758
237.2237305,0.193646058,20.21,193.646058
238.2444954,0.193565472,20.21,193.565472
239.2647533,0.193668797,20.21,193.668797
240.2891221,0.193632423,20.21,193.632423
241.3094937,0.193603649,20.17,193.603649
242.3294992,0.193860083,20.21,193.860083
243.3487321,0.202009558,20.23,202.009558
244.3678438,0.210822165,20.15,210.822165
245.3876591,0.218814373,20.21,218.814373
246.4077258,0.218761593,20.21,218.761593
247.4354465,0.218811511,20.27,218.811511
248.5188766,0.218872711,20.23,218.872711
249.5474796,0.218917965,20.23,218.917965
250.5666932,0.218975007,20.21,218.975007
251.6510131,0.219026878,20.21,219.026878
252.6705503,0.219028234,20.21,219.028234
253.7476229,0.219050139,20.21,219.050139
254.7679506,0.219071671,20.23,219.071671
255.7873813,0.219079494,20.23,219.079494
256.806681,0.219092398,20.17,219.092398
257.8259498,0.219106361,20.21,219.106361
258.8526686,0.219285964,20.27,219.285964
259.8881233,0.229997381,20.21,229.997381
260.9717666,0.238034501,20.21,238.034501
261.9917182,0.243248179,20.21,243.248179
263.010757,0.243331938,20.23,243.331938
264.0564051,0.243399515,20.23,243.399515
265.076656,0.243443682,20.21,243.443682
266.095616,0.243498474,20.23,243.498474
267.1443792,0.243561029,20.27,243.561029
268.1641374,0.243601039,20.23,243.601039
269.1839502,0.243641182,20.17,243.641182
270.2385538,0.243697628,20.23,243.697628
271.2598915,0.243720516,20.21,243.720516
272.279398,0.24377495,20.27,243.77495
273.2981202,0.243780359,20.23,243.780359
274.3180008,0.243804544,20.23,243.804544
275.3373434,0.24381648,20.23,243.81648
276.3567942,0.243834912,20.27,243.834912
277.375983,0.243831411,20.31,243.831411
278.4551838,0.243828698,20.31,243.828698
279.4744902,0.24380505,20.23,243.80505
280.5407197,0.243809357,20.31,243.809357
281.560755,0.243824139,20.21,243.824139
282.5798266,0.243826031,20.31,243.826031
283.6401429,0.243826821,20.27,243.826821
284.6590792,0.246646091,20.23,246.646091
285.6784442,0.254412502,20.27,254.412502
286.7348215,0.25458613,20.31,254.58613
287.7542506,0.254606336,20.27,254.606336
288.7747552,0.254622936,20.27,254.622936
289.8421132,0.254634618,20.23,254.634618
290.8616898,0.254658401,20.31,254.658401
291.8814413,0.254667013,20.27,254.667013
292.9004584,0.254691869,20.31,254.691869
293.9199091,0.254690051,20.33,254.690051
294.9460865,0.254707396,20.31,254.707396
295.9660319,0.254722148,20.33,254.722148
296.9853726,0.254725664,20.23,254.725664
298.0646893,0.254724323,20.31,254.724323
299.0841108,0.254734605,20.27,254.734605
300.1733704,0.254722446,20.31,254.722446
301.1938574,0.25471723,20.31,254.71723
302.2141507,0.254712551,20.23,254.712551
303.233505,0.254713803,20.37,254.713803
304.2532073,0.254703044,20.23,254.703044
305.2733644,0.254695445,20.27,254.695445
306.2927046,0.254691272,20.37,254.691272
307.312125,0.254696995,20.33,254.696995
308.3975029,0.254679441,20.33,254.679441
309.4172142,0.254676729,20.37,254.676729
310.4891965,0.25468108,20.37,254.68108
311.509104,0.254682779,20.31,254.682779
312.5289603,0.254675865,20.31,254.675865
313.5737505,0.254666447,20.37,254.666447
314.5933672,0.254666566,20.37,254.666566
315.6136066,0.254662871,20.31,254.662871
316.6675155,0.25465089,20.31,254.65089
317.6868927,0.254642575,20.33,254.642575
318.7070549,0.254650712,20.37,254.650712
319.7270625,0.254644453,20.27,254.644453
320.7466591,0.254648804,20.33,254.648804
321.7712974,0.25463888,20.31,254.63888
322.7912485,0.254642337,20.45,254.642337
323.8115082,0.254641085,20.39,254.641085
324.8925575,0.25463733,20.39,254.63733
325.9127422,0.254630953,20.43,254.630953
326.9820225,0.254629969,20.49,254.629969
328.0017731,0.254631459,20.33,254.631459
329.0213292,0.254630208,20.33,254.630208
330.0681423,0.254636406,20.39,254.636406
331.0880851,0.254630386,20.43,254.630386
332.1081339,0.254626214,20.37,254.626214
333.1276694,0.254620671,20.33,254.620671
334.1472533,0.254622071,20.39,254.622071
335.1669924,0.254614084,20.31,254.614084
336.1861003,0.254620373,20.43,254.620373
337.2051734,0.254619389,20.37,254.619389
338.3245835,0.25461173,20.43,254.61173
339.3439605,0.254607319,20.43,254.607319
340.4453756,0.254609704,20.33,254.609704
341.463883,0.254615157,20.37,254.615157
342.4833887,0.254615485,20.33,254.615485
343.5311918,0.254610985,20.43,254.610985
344.5508529,0.254614204,20.37,254.614204
345.5701202,0.25461626,20.37,254.61626
346.6167764,0.254607617,20.37,254.607617
347.6367102,0.254603177,20.43,254.603177
348.656458,0.25460568,20.45,254.60568
349.67536,0.254608094,20.45,254.608094
350.6948248,0.254607141,20.37,254.607141
351.7136141,0.254615068,20.33,254.615068
352.7330405,0.254614323,20.43,254.614323
353.7533626,0.25460568,20.43,254.60568
354.8415529,0.254610121,20.49,254.610121
355.8610085,0.254610657,20.43,254.610657
356.9274445,0.254610836,20.39,254.610836
357.9470518,0.254600226,20.49,254.600226
358.9663047,0.25461024,20.45,254.61024
359.9858631,0.254602462,20.45,254.602462
361.0054479,0.254606634,20.43,254.606634
362.031053,0.25459963,20.45,254.59963
363.0512903,0.254601061,20.37,254.601061
364.071352,0.254603087,20.45,254.603087
365.1511747,0.254609346,20.37,254.609346
366.1704473,0.254614949,20.43,254.614949
367.2493893,0.254617273,20.45,254.617273
368.269143,0.254610657,20.49,254.610657
369.2890031,0.254611015,20.49,254.611015
370.3854559,0.254620254,20.45,254.620254
371.4051649,0.254618823,20.51,254.618823
372.4241218,0.254620313,20.43,254.620313
373.4774987,0.254617094,20.45,254.617094
374.4973052,0.254613995,20.51,254.613995
375.5167276,0.254620552,20.43,254.620552
376.5676657,0.254609793,20.49,254.609793
377.5875539,0.254617601,20.51,254.617601
378.6070894,0.254614353,20.49,254.614353
379.6537932,0.254605025,20.45,254.605025
380.6734721,0.25460273,20.43,254.60273
381.692922,0.254609763,20.45,254.609763
382.7123231,0.254605442,20.45,254.605442
383.7325054,0.25460872,20.45,254.60872
384.7534866,0.254610389,20.45,254.610389
385.7733736,0.254613429,20.45,254.613429
386.8740794,0.254601567,20.49,254.601567
387.8943564,0.25459823,20.49,254.59823
388.9140292,0.254614681,20.45,254.614681
389.9593545,0.254616618,20.45,254.616618
390.979737,0.254608988,20.43,254.608988
391.9993481,0.254613012,20.45,254.613012
393.0430712,0.254616409,20.55,254.616409
394.0627327,0.254606723,20.49,254.606723
395.0826646,0.25461319,20.45,254.61319
396.128362,0.254615455,20.51,254.615455
397.1480007,0.254608213,20.45,254.608213
398.1684386,0.254610866,20.49,254.610866
399.1874429,0.254609614,20.51,254.609614
400.2076538,0.254611492,20.55,254.611492
401.2268982,0.25460717,20.51,254.60717
402.2460254,0.254607111,20.45,254.607111
403.2656101,0.254601418,20.43,254.601418
404.3023743,0.254604041,20.45,254.604041
405.322582,0.254609048,20.51,254.609048
406.3422826,0.254608452,20.37,254.608452
407.3618529,0.254609256,20.49,254.609256
408.3820062,0.254584938,20.51,254.584938
409.4214125,0.254618406,20.55,254.618406
410.4413518,0.254624456,20.49,254.624456
411.4617943,0.254613369,20.55,254.613369
412.5549641,0.254608958,20.45,254.608958
413.5743233,0.254611223,20.49,254.611223
414.654492,0.254604429,20.49,254.604429
415.6739223,0.254594326,20.51,254.594326
416.6938444,0.254599332,20.49,254.599332
417.7527957,0.254593849,20.55,254.593849
418.7731335,0.254594415,20.49,254.594415
419.7920056,0.254588007,20.51,254.588007
420.8800502,0.254597693,20.51,254.597693
421.8993159,0.254593074,20.45,254.593074
422.9193944,0.254599511,20.51,254.599511
423.9387556,0.254600614,20.59,254.600614
424.9831133,0.254604816,20.55,254.604816
426.0027915,0.254596382,20.59,254.596382
427.0217673,0.254597455,20.59,254.597455
428.0742233,0.254615366,20.61,254.615366
429.0942587,0.254620611,20.55,254.620611
430.1147455,0.25460866,20.59,254.60866
431.1662763,0.254611313,20.55,254.611313
432.1866082,0.254604697,20.59,254.604697
433.2062868,0.254602491,20.51,254.602491
434.2523803,0.254602402,20.61,254.602402
435.271703,0.254606008,20.65,254.606008
436.2915153,0.25459811,20.61,254.59811
437.3699957,0.254607826,20.55,254.607826
438.3902573,0.254605472,20.65,254.605472
439.4099619,0.254605621,20.51,254.605621
440.46391,0.254599958,20.59,254.599958
441.4837609,0.2545937,20.59,254.5937
442.5032253,0.254597395,20.59,254.597395
443.5544439,0.254601597,20.55,254.601597
444.5743484,0.25460869,20.55,254.60869
445.5947199,0.254632145,20.65,254.632145
446.655963,0.254628926,20.59,254.628926
447.6756776,0.254639327,20.59,254.639327
448.6950077,0.254642844,20.55,254.642844
449.7427454,0.254656016,20.61,254.656016
450.762319,0.254659086,20.61,254.659086
451.7818083,0.254663884,20.61,254.663884
452.8445134,0.254658907,20.59,254.658907
453.8637766,0.254656642,20.61,254.656642
454.8835094,0.254656881,20.55,254.656881
455.9028152,0.25464788,20.59,254.64788
456.9223563,0.25464341,20.59,254.64341
457.9517509,0.254651367,20.59,254.651367
458.9716535,0.254644215,20.65,254.644215
459.9916167,0.254637628,20.51,254.637628
461.0483072,0.254638403,20.55,254.638403
462.0685916,0.2546404,20.59,254.6404
463.08895,0.25463739,20.61,254.63739
464.1426539,0.254629164,20.59,254.629164
