Longitud,Amplitud
600.76,1.0102E+00
601.53,1.0085E+00
602.3,1.3835E+00
603.07,1.2576E+00
603.84,1.1275E+00
604.61,1.2540E+00
605.37,1.2498E+00
606.14,9.9979E-01
606.91,8.7178E-01
607.68,9.9758E-01
608.44,1.2443E+00
609.21,7.4574E-01
609.98,1.3674E+00
610.75,8.6708E-01
611.52,0.0000E+00
612.28,3.6962E-01
613.05,6.1849E-01
613.82,8.6473E-01
614.58,6.1709E-01
615.35,8.6376E-01
616.12,6.1650E-01
616.89,1.1105E+00
617.65,1.1061E+00
618.42,3.6936E-01
619.19,8.5999E-01
619.95,8.6079E-01
620.72,8.5862E-01
621.49,7.3650E-01
622.25,7.3444E-01
623.02,9.8039E-01
623.79,1.1067E+00
624.55,1.2254E+00
625.32,7.3689E-01
626.09,6.1424E-01
626.85,1.2265E+00
627.62,6.1422E-01
628.38,7.3701E-01
629.15,9.8186E-01
629.91,4.9057E-01
630.68,7.3600E-01
631.45,8.5702E-01
632.21,8.5758E-01
632.98,9.7821E-01
633.74,1.3423E+00
634.51,1.2217E+00
635.27,1.0973E+00
636.04,1.4620E+00
636.8,1.2199E+00
637.57,9.7251E-01
638.33,1.8242E+00
639.1,9.7302E-01
639.86,1.4596E+00
640.63,1.2132E+00
641.39,1.0932E+00
642.16,1.0929E+00
642.92,1.4578E+00
643.69,1.2162E+00
644.45,1.2165E+00
645.22,1.4617E+00
645.98,1.2150E+00
646.74,1.2164E+00
647.51,1.0977E+00
648.27,1.9527E+00
649.04,1.8364E+00
649.8,1.3477E+00
650.56,1.1024E+00
651.33,1.1021E+00
652.09,1.4669E+00
652.86,1.8393E+00
653.62,1.4700E+00
654.38,9.7671E-01
655.15,1.8243E+00
655.91,1.8236E+00
656.67,9.7113E-01
657.44,1.3373E+00
658.2,1.0939E+00
658.96,1.0958E+00
659.73,1.4593E+00
660.49,1.3370E+00
661.25,1.3411E+00
662.01,1.4602E+00
662.78,1.5870E+00
663.54,1.3412E+00
664.3,1.4673E+00
665.06,1.7094E+00
665.83,1.3442E+00
666.59,1.4704E+00
667.35,1.5947E+00
668.11,1.4713E+00
668.88,1.9624E+00
669.64,1.7216E+00
670.4,1.4733E+00
671.16,1.8388E+00
671.92,2.3321E+00
672.68,1.7227E+00
673.45,1.7175E+00
674.21,1.9640E+00
674.97,1.4735E+00
