Longitud,Amplitud
500.27,9.00E-01
501.04,1.25E+00
501.82,7.09E-01
502.6,1.41E+00
503.38,1.40E+00
504.15,8.70E-01
504.93,1.73E+00
505.71,1.20E+00
506.48,1.71E+00
507.26,8.45E-01
508.04,1.68E+00
508.82,5.00E-01
509.59,1.16E+00
510.37,1.31E+00
511.15,1.64E+00
511.92,1.14E+00
512.7,1.78E+00
513.47,1.13E+00
514.25,1.12E+00
515.03,1.11E+00
515.8,1.11E+00
516.58,1.41E+00
517.36,9.38E-01
518.13,7.80E-01
518.91,1.08E+00
519.68,9.31E-01
520.46,7.71E-01
521.24,1.38E+00
522.01,6.12E-01
522.79,1.37E+00
523.56,1.06E+00
524.34,1.06E+00
525.11,1.20E+00
525.89,1.35E+00
526.66,1.20E+00
527.44,1.50E+00
528.21,1.49E+00
528.99,1.33E+00
529.76,1.18E+00
530.54,1.18E+00
531.31,1.33E+00
532.09,1.17E+00
532.86,1.60E+00
533.64,1.46E+00
534.41,8.68E-01
535.19,1.15E+00
535.96,7.20E-01
536.74,1.43E+00
537.51,8.56E-01
538.28,1.28E+00
539.06,1.42E+00
539.83,1.42E+00
540.61,1.56E+00
541.38,1.28E+00
542.15,1.13E+00
542.93,1.41E+00
543.7,5.63E-01
544.48,1.13E+00
545.25,9.81E-01
546.02,1.26E+00
546.8,1.26E+00
547.57,1.12E+00
548.34,1.53E+00
549.12,6.93E-01
549.89,1.80E+00
550.66,9.68E-01
551.43,1.24E+00
552.21,9.68E-01
552.98,1.10E+00
553.75,1.24E+00
554.53,1.37E+00
555.3,1.64E+00
556.07,1.36E+00
556.84,1.23E+00
557.62,1.22E+00
558.39,9.53E-01
559.16,1.64E+00
559.93,1.09E+00
560.71,1.36E+00
561.48,1.50E+00
562.25,1.77E+00
563.02,1.49E+00
563.79,1.62E+00
564.57,1.48E+00
565.34,1.88E+00
566.11,2.01E+00
566.88,2.02E+00
567.65,1.88E+00
568.42,1.87E+00
569.2,2.14E+00
569.97,1.73E+00
570.74,1.86E+00
571.51,1.86E+00
572.28,1.85E+00
573.05,2.11E+00
573.82,2.37E+00
574.59,2.36E+00
575.36,2.36E+00
576.14,2.61E+00
576.91,2.74E+00
577.68,2.87E+00
578.45,3.51E+00
579.22,2.99E+00
579.99,3.63E+00
580.76,3.50E+00
581.53,3.88E+00
582.3,4.13E+00
583.07,3.74E+00
583.84,4.24E+00
584.61,5.00E+00
585.38,5.11E+00
586.15,5.11E+00
586.92,5.74E+00
587.69,6.76E+00
588.46,7.14E+00
589.23,7.25E+00
590,7.75E+00
590.77,8.66E+00
591.54,9.77E+00
592.31,1.04E+01
593.07,1.21E+01
593.84,1.25E+01
594.61,1.45E+01
595.38,1.51E+01
596.15,1.67E+01
596.92,1.81E+01
597.69,1.94E+01
598.46,2.23E+01
599.23,2.36E+01
599.99,2.52E+01
600.76,2.95E+01
601.53,3.15E+01
602.3,3.52E+01
603.07,3.86E+01
603.84,4.17E+01
604.61,4.53E+01
605.37,4.97E+01
606.14,5.51E+01
606.91,6.00E+01
607.68,6.65E+01
608.44,7.15E+01
609.21,7.82E+01
609.98,8.60E+01
610.75,9.39E+01
611.52,1.03E+02
612.28,1.12E+02
613.05,1.22E+02
613.82,1.34E+02
614.58,1.45E+02
615.35,1.60E+02
616.12,1.74E+02
616.89,1.90E+02
617.65,2.06E+02
618.42,2.25E+02
619.19,2.41E+02
619.95,2.62E+02
620.72,2.84E+02
621.49,3.12E+02
622.25,3.34E+02
623.02,3.62E+02
623.79,3.96E+02
624.55,4.24E+02
625.32,4.61E+02
626.09,5.01E+02
626.85,5.39E+02
627.62,5.82E+02
628.38,6.37E+02
629.15,6.87E+02
629.91,7.44E+02
630.68,8.04E+02
631.45,8.64E+02
632.21,9.33E+02
632.98,1.01E+03
