Longitud,Amplitud
600.76,1.26E-01
601.53,5.04E-01
602.3,-2.52E-01
603.07,-3.77E-01
603.84,0.00E+00
604.61,2.51E-01
605.37,-6.25E-01
606.14,-1.25E-01
606.91,-2.49E-01
607.68,-4.99E-01
608.44,-1.24E-01
609.21,-6.21E-01
609.98,-3.73E-01
610.75,-9.91E-01
611.52,-9.88E-01
612.28,-9.86E-01
613.05,-9.90E-01
613.82,-1.11E+00
614.58,-1.11E+00
615.35,-8.64E-01
616.12,-1.36E+00
616.89,-1.48E+00
617.65,-1.47E+00
618.42,-1.35E+00
619.19,-1.35E+00
619.95,-1.23E+00
620.72,-2.09E+00
621.49,-1.10E+00
622.25,-1.47E+00
623.02,-2.08E+00
623.79,-1.23E+00
624.55,-1.10E+00
625.32,-1.47E+00
626.09,-1.84E+00
626.85,-2.21E+00
627.62,-1.35E+00
628.38,-1.97E+00
629.15,-2.09E+00
629.91,-1.47E+00
630.68,-2.33E+00
631.45,-2.08E+00
632.21,-1.47E+00
632.98,-2.20E+00
633.74,-1.95E+00
634.51,-1.95E+00
635.27,-2.19E+00
636.04,-1.58E+00
636.8,-2.07E+00
637.57,-1.95E+00
638.33,-1.34E+00
639.1,-1.70E+00
639.86,-2.43E+00
640.63,-1.94E+00
641.39,-1.82E+00
642.16,-2.55E+00
642.92,-1.70E+00
643.69,-2.43E+00
644.45,-2.19E+00
645.22,-2.07E+00
645.98,-2.55E+00
646.74,-1.46E+00
647.51,-2.20E+00
648.27,-1.83E+00
649.04,-1.71E+00
649.8,-2.08E+00
650.56,-2.08E+00
651.33,-1.96E+00
652.09,-2.44E+00
652.86,-1.96E+00
653.62,-1.59E+00
654.38,-1.71E+00
655.15,-1.82E+00
655.91,-1.70E+00
656.67,-1.58E+00
657.44,-1.58E+00
658.2,-1.94E+00
658.96,-1.95E+00
659.73,-1.82E+00
660.49,-1.70E+00
661.25,-1.46E+00
662.01,-1.46E+00
662.78,-1.59E+00
663.54,-1.83E+00
664.3,-1.59E+00
665.06,-1.59E+00
665.83,-1.22E+00
666.59,-1.23E+00
667.35,-1.35E+00
668.11,-1.35E+00
668.88,-6.13E-01
669.64,-1.60E+00
670.4,-6.14E-01
671.16,-1.10E+00
671.92,-7.36E-01
672.68,-6.15E-01
673.45,-3.68E-01
674.21,-7.36E-01
674.97,-6.14E-01
675.73,-6.15E-01
676.49,-2.46E-01
