Longitud,Amplitud
186,580
186.27,-138.5
186.54,-138.5
186.81,-166.5
187.08,-97.5
187.36,18.5
187.63,-3.5
187.9,0.5
188.17,-4.5
188.44,2.5
188.71,2.5
188.98,25.5
189.25,17.5
189.52,-0.5
189.79,-11.5
190.07,-18.5
190.34,3.5
190.61,-1.5
190.88,44.5
191.15,58.5
191.42,13.5
191.69,-4.5
191.96,31.5
192.23,16.5
192.5,-14.5
192.77,-37.5
193.05,-24.5
193.32,-34.5
193.59,-21.5
193.86,1.5
194.13,5.5
194.4,25.5
194.67,7.5
194.94,3.5
195.21,-2.5
195.48,4.5
195.75,16.5
196.02,27.5
196.29,44.5
196.56,31.5
196.84,9.5
197.11,18.5
197.38,16.5
197.65,6.5
197.92,-22.5
198.19,-0.5
198.46,-37.5
198.73,11.5
199,13.5
199.27,-23.5
199.54,13.5
199.81,51.5
200.08,13.5
200.35,5.5
200.62,1.5
200.89,42.5
201.17,34.5
201.44,13.5
201.71,3.5
201.98,13.5
202.25,6.5
202.52,22.5
202.79,10.5
203.06,-5.5
203.33,-9.5
203.6,12.5
203.87,17.5
204.14,12.5
204.41,40.5
204.68,19.5
204.95,8.5
205.22,2.5
205.49,15.5
205.76,13.5
206.03,41.5
206.3,14.5
206.57,-5.5
206.84,-8.5
207.11,-17.5
207.38,44.5
207.65,33.5
207.92,-20.5
208.19,27.5
208.46,37.5
208.74,5.5
209.01,-31.5
209.28,-20.5
209.55,7.5
209.82,36.5
210.09,-32.5
210.36,-20.5
210.63,-5.5
210.9,3.5
211.17,13.5
211.44,-15.5
211.71,15.5
211.98,38.5
212.25,24.5
212.52,36.5
212.79,66.5
213.06,2.5
213.33,6.5
213.6,24.5
213.87,18.5
214.14,15.5
214.41,-2.5
214.68,35.5
214.95,19.5
215.22,36.5
215.49,-1.5
215.76,2.5
216.03,34.5
216.3,24.5
216.57,8.5
216.84,22.5
217.11,49.5
217.38,61.5
217.65,22.5
217.92,-14.5
218.19,104.5
218.46,161.5
218.73,-37.5
219,-23.5
219.27,-7.5
219.54,-5.5
219.81,-33.5
220.07,-30.5
220.34,29.5
220.61,44.5
220.88,-7.5
221.15,1.5
221.42,20.5
221.69,26.5
221.96,-11.5
222.23,1.5
222.5,29.5
222.77,19.5
223.04,47.5
223.31,10.5
223.58,13.5
223.85,0.5
224.12,-7.5
224.39,-6.5
224.66,17.5
224.93,26.5
