Longitud,Amplitud
186,525
186.27,-59.91
186.54,-59.91
186.81,-27.91
187.08,-19.91
187.36,-0.91
187.63,16.09
187.9,24.09
188.17,1.09
188.44,-14.91
188.71,-7.91
188.98,-5.91
189.25,-1.91
189.52,23.09
189.79,9.09
190.07,10.09
190.34,20.09
190.61,-1.91
190.88,7.09
191.15,8.09
191.42,9.09
191.69,4.09
191.96,9.09
192.23,3.09
192.5,-7.91
192.77,1.09
193.05,11.09
193.32,-5.91
193.59,1.09
193.86,4.09
194.13,-1.91
194.4,-5.91
194.67,-0.91
194.94,5.09
195.21,4.09
195.48,-0.91
195.75,-3.91
196.02,16.09
196.29,12.09
196.56,-6.91
196.84,-3.91
197.11,7.09
197.38,9.09
197.65,-1.91
197.92,3.09
198.19,10.09
198.46,9.09
198.73,0.09
199,1.09
199.27,14.09
199.54,-0.91
199.81,10.09
200.08,6.09
200.35,11.09
200.62,3.09
200.89,16.09
201.17,-0.91
201.44,2.09
201.71,-7.91
201.98,-10.91
202.25,2.09
202.52,11.09
202.79,1.09
203.06,1.09
203.33,9.09
203.6,26.09
203.87,5.09
204.14,-17.91
204.41,-6.91
204.68,14.09
204.95,7.09
205.22,-3.91
205.49,-3.91
205.76,-6.91
206.03,8.09
206.3,8.09
206.57,0.09
206.84,12.09
207.11,-7.91
207.38,10.09
207.65,-1.91
207.92,18.09
208.19,15.09
208.46,4.09
208.74,13.09
209.01,-10.91
209.28,2.09
209.55,6.09
209.82,-7.91
210.09,-18.91
210.36,-1.91
210.63,16.09
210.9,10.09
211.17,-3.91
211.44,-6.91
211.71,-4.91
211.98,-4.91
212.25,9.09
212.52,12.09
212.79,8.09
213.06,9.09
213.33,9.09
213.6,8.09
213.87,5.09
214.14,-3.91
214.41,9.09
214.68,12.09
214.95,5.09
215.22,3.09
215.49,-1.91
215.76,10.09
216.03,14.09
216.3,13.09
216.57,8.09
216.84,-10.91
217.11,-11.91
217.38,-15.91
217.65,-13.91
217.92,6.09
218.19,16.09
218.46,-0.91
218.73,-9.91
219,0.09
219.27,-4.91
219.54,10.09
219.81,6.09
220.07,-10.91
220.34,-14.91
220.61,1.09
220.88,-13.91
221.15,5.09
221.42,-3.91
221.69,-0.91
221.96,-8.91
222.23,2.09
222.5,-6.91
222.77,6.09
223.04,-0.91
223.31,5.09
223.58,13.09
223.85,4.09
224.12,4.09
224.39,5.09
224.66,-1.91
224.93,-15.91
225.2,-16.91
225.47,-3.91
225.74,9.09
226.01,7.09
226.28,9.09
226.55,15.09
226.82,6.09
227.09,1.09
227.35,-5.91
227.62,-1.91
227.89,2.09
228.16,6.09
228.43,0.09
228.7,4.09
228.97,0.09
229.24,2.09
229.51,-4.91
229.78,-2.91
230.05,11.09
230.32,-2.91
230.59,2.09
230.86,-1.91
231.13,-18.91
231.4,-2.91
231.67,17.09
231.93,-20.91
232.2,-19.91
232.47,-13.91
232.74,19.09
233.01,-9.91
233.28,9.09
233.55,-13.91
233.82,-13.91
