Tiempo,Corriente,Temperatura
169.0198428,0.0207491852,25.5
170.0411387,0.0207499861,25.48
171.0612639,0.0207507237,25.56
172.1302551,0.0207499265,25.57
173.149374,0.0207509007,25.45
174.1695625,0.0207507386,25.5
175.1887392,0.0207504928,25.54
176.2084961,0.0207515861,25.45
177.3057347,0.020751683,25.5
178.328575,0.0207518711,25.5
179.3469358,0.020752592,25.44
180.4246706,0.0207520127,25.56
181.4453177,0.0207523331,25.63
182.4649575,0.0207521282,25.49
183.4842082,0.0207532551,25.48
184.5042674,0.0207533184,25.5
185.5233592,0.0207528024,25.56
186.5687142,0.0207538492,25.51
187.5879245,0.0207529086,25.66
188.6081711,0.0207540597,25.51
189.6287675,0.0207538399,25.56
190.6476908,0.0207542032,25.51
191.6672905,0.0207563955,25.5
192.6865027,0.0207563247,25.54
193.7060237,0.0207569897,25.57
194.7255477,0.0207566358,25.55
195.8016768,0.0207565482,25.45
196.8215902,0.020756578,25.66
197.8414662,0.0207568146,25.57
198.862835,0.0207572784,25.55
199.8830147,0.0216445513,25.55
200.9023342,0.0231292098,25.49
201.9695459,0.0245119705,25.54
202.9890144,0.0249245725,25.55
204.0086165,0.0249252375,25.55
205.0293443,0.0249222386,25.55
206.0489434,0.0249261669,25.61
207.0684865,0.0249270536,25.57
208.3403369,0.0249284785,25.59
209.3604366,0.0249293185,25.63
210.380237,0.0249311998,25.6
211.4005883,0.0249310769,25.65
212.4202606,0.024931021,25.69
213.4397444,0.0249308571,25.57
214.4595277,0.0249288566,25.63
215.4787595,0.0249305944,25.61
216.4980294,0.0249308682,25.67
217.5175433,0.0249314662,25.67
218.5575216,0.0249317791,25.57
219.5774509,0.0249319225,25.57
220.5964051,0.0249330736,25.57
221.6160609,0.0249325931,25.57
222.6347845,0.024932824,25.61
223.6554901,0.0249329544,25.57
224.6751418,0.0249330289,25.61
225.694524,0.024934642,25.67
226.7134843,0.0249351374,25.55
227.733377,0.0249353554,25.51
228.7534687,0.0249350946,25.68
229.773582,0.0249360334,25.63
230.7933391,0.0249363295,25.61
231.8129249,0.0249360539,25.61
232.8322651,0.0249388031,25.69
233.8530054,0.0249372627,25.67
234.8725349,0.0249396506,25.67
235.8926084,0.0249394122,25.61
236.9125549,0.0249404348,25.67
237.9320881,0.0249406136,25.57
238.9517988,0.0249410104,25.69
239.9712555,0.0249403063,25.69
240.9914793,0.0259403735,25.57
242.0111518,0.0273401774,25.73
243.0306201,0.0287232827,25.68
244.0516599,0.0291264969,25.67
245.0714874,0.0291277132,25.63
246.0916498,0.0291278976,25.69
247.2174185,0.0291276238,25.67
248.237262,0.0291293878,25.63
249.2573395,0.0291303135,25.67
250.3309815,0.0291310399,25.69
251.3509755,0.0291318111,25.57
252.3704029,0.0291319321,25.57
253.3899481,0.0291331801,25.75
254.4101992,0.0291348118,25.64
255.4700465,0.0291346218,25.67
256.4905304,0.0291343051,25.57
257.5304829,0.0291338507,25.67
258.5866002,0.0291352588,25.75
259.6224974,0.0291359443,25.62
260.641522,0.029135229,25.67
261.662769,0.0291367359,25.63
262.6821131,0.0291376356,25.57
263.7043401,0.0291367303,25.67
264.7250615,0.0291376542,25.69
265.745309,0.0291377399,25.61
266.766193,0.0291389897,25.63
267.8343636,0.029139338,25.73
268.8547238,0.029140789,25.58
269.8770701,0.0291406996,25.73
270.8963124,0.0291412528,25.7
271.9190209,0.0291416533,25.63
272.9385725,0.0291415248,25.73
273.9601563,0.0291411522,25.7
274.9797139,0.0291423108,25.69
276.0007778,0.0291437078,25.67
277.0607047,0.0291442014,25.64
278.0803414,0.0291444901,25.72
279.099917,0.02914422,25.73
280.175075,0.0291439965,25.66
281.1952052,0.0291440822,25.73
282.2153847,0.0291447695,25.72
283.2876352,0.0291439704,25.71
284.3070985,0.0291455462,25.67
285.3277739,0.0291464459,25.64
286.3992486,0.0291463546,25.67
287.4184347,0.0291461981,25.75
288.437497,0.0291452892,25.68
289.5074205,0.0291469972,25.73
290.5264257,0.0291473213,25.74
291.5476532,0.0291498359,25.64
292.6197261,0.0291500519,25.69
293.6395978,0.0291503258,25.67
294.6591229,0.0291506908,25.63
295.6794353,0.0291520841,25.67
296.6990342,0.0291515178,25.75
297.8034137,0.0291519276,25.68
298.8231094,0.0291513297,25.73
299.8426783,0.0291518904,25.7
300.9366325,0.0291521642,25.69
301.9569634,0.0291527714,25.67
302.9777776,0.0291523169,25.75
303.9993247,0.0291540138,25.68
305.0194526,0.0291529055,25.63
306.0394556,0.0291524659,25.69
307.0587127,0.0291526764,25.73
308.0788825,0.0291530787,25.76
309.0987587,0.0291546229,25.7
310.1689698,0.0291553791,25.67
311.1881985,0.0292163826,25.67
312.207518,0.0306140203,25.73
313.3016069,0.0325005911,25.7
314.3218514,0.0333490408,25.69
315.3409396,0.0333497188,25.69
316.360064,0.0333527885,25.69
317.3795895,0.0333530344,25.75
318.4005528,0.0333553217,25.76
319.4373317,0.0333560071,25.76
320.4571247,0.0333571583,25.7
321.4769037,0.0333592332,25.75
322.5420915,0.0333582535,25.86
323.5616909,0.0333591774,25.8
324.5815186,0.0333604216,25.82
325.6011062,0.0333620719,25.68
326.6200608,0.0333638861,25.75
327.6900019,0.0333643965,25.82
328.7098885,0.0333656184,25.8
329.7291215,0.0339280739,25.82
330.802354,0.0353127457,25.8
331.8219182,0.0372055172,25.8
332.8411348,0.0375767722,25.76
333.9144741,0.0375796444,25.76
334.9340343,0.0375820845,25.74
335.9536361,0.0375841818,25.82
336.9729816,0.0375850237,25.82
337.9928197,0.0375874079,25.74
339.0515485,0.0375883094,25.76
340.0711264,0.0376700274,25.7
341.0917762,0.0390623286,25.87
342.1865402,0.0409286692,25.86
343.2069464,0.0417136698,25.76
344.2273149,0.0417182929,25.86
345.2463656,0.0417222492,25.77
346.2664352,0.0417252965,25.81
347.2858674,0.0417279303,25.8
348.3429059,0.0417295731,25.82
349.3668253,0.0422556363,25.81
350.3865868,0.0425658896,25.8
351.4654179,0.0425602719,25.79
352.4850945,0.0425565317,25.76
353.50506,0.0425554029,25.88
354.5250423,0.0425544045,25.76
355.5445433,0.0425489097,25.88
356.5638174,0.0425418056,25.76
357.5835944,0.0425346158,25.8
358.6027639,0.0425270609,25.76
359.621939,0.0425115153,25.74
360.6841532,0.0425089709,25.88
361.7039767,0.0425022616,25.82
362.7235738,0.0425006039,25.92
363.7429814,0.042497605,25.74
364.7626805,0.0424950458,25.74
365.7816957,0.0424983166,25.82
366.8165173,0.0424970202,25.76
367.836786,0.042494066,25.86
368.8557736,0.0424919165,25.8
369.969045,0.0424891896,25.76
370.9901218,0.0424873307,25.76
372.0102975,0.0424880236,25.76
373.1903778,0.0424870811,25.86
374.2095969,0.042485658,25.86
375.22996,0.0424839109,25.8
376.250449,0.0424812957,25.92
377.2707719,0.0424839891,25.82
378.291548,0.0424787737,25.86
379.351249,0.0424804873,25.86
380.3722099,0.0424763672,25.8
381.3920007,0.0424779206,25.82
382.4113064,0.0424771346,25.92
383.4319473,0.0424761325,25.8
384.4510818,0.0424749106,25.82
385.500935,0.0424786098,25.74
386.5211221,0.0424797199,25.88
