Tiempo,Corriente,Temperatura,Corriente2
388.020524,0.0675360634,25.76,67.5360634
389.0448222,0.0675347,25.74,67.5347
390.0685437,0.0675335526,25.7,67.5335526
391.118845,0.0675324648,25.75,67.5324648
392.1385269,0.0675311759,25.8,67.5311759
393.1576095,0.0675303339,25.82,67.5303339
394.2242762,0.0675285384,25.76,67.5285384
395.2445459,0.0675285011,25.74,67.5285011
396.2639913,0.0675281584,25.88,67.5281584
397.2839388,0.0675271004,25.76,67.5271004
398.3029346,0.0675262361,25.8,67.5262361
399.3522428,0.0675256475,25.8,67.5256475
400.3720095,0.0675245001,25.8,67.5245001
401.3915939,0.0675245374,25.86,67.5245374
402.4473372,0.0675284713,25.82,67.5284713
403.4668171,0.0675294026,25.82,67.5294026
404.4864463,0.0675287842,25.8,67.5287842
405.5543581,0.0675293579,25.8,67.5293579
406.5744746,0.0675292238,25.88,67.5292238
407.594185,0.0675296857,25.85,67.5296857
408.613897,0.0675297752,25.83,67.5297752
409.6340006,0.0675287842,25.81,67.5287842
410.6689983,0.0675289258,25.84,67.5289258
411.6887327,0.0675297752,25.8,67.5297752
412.7080718,0.0675286352,25.92,67.5286352
413.7663191,0.0675286427,25.8,67.5286427
414.7857298,0.0675272718,25.8,67.5272718
415.8048616,0.0675255432,25.82,67.5255432
416.8624325,0.0675252601,25.88,67.5252601
417.881807,0.0675242543,25.88,67.5242543
418.9016344,0.0675233304,25.8,67.5233304
419.9868281,0.0675237327,25.86,67.5237327
421.0057378,0.0675229355,25.88,67.5229355
422.0257777,0.0675223618,25.86,67.5223618
423.0932783,0.0675217956,25.92,67.5217956
424.1127319,0.0675206929,25.88,67.5206929
425.1327993,0.0675202757,25.86,67.5202757
426.1919326,0.0675196722,25.92,67.5196722
427.2114179,0.0675191208,25.88,67.5191208
428.2310481,0.0675178319,25.88,67.5178319
429.2940311,0.0675170347,25.88,67.5170347
430.3132992,0.06751699,25.88,67.51699
431.3323754,0.067515701,25.88,67.515701
432.3927991,0.0675155445,25.86,67.5155445
433.4117888,0.0675156489,25.82,67.5156489
434.4308135,0.0675161257,25.82,67.5161257
435.5289728,0.0675155669,25.86,67.5155669
436.5485086,0.0675148591,25.86,67.5148591
437.5675069,0.0675145909,25.88,67.5145909
438.5871264,0.0675139352,25.86,67.5139352
439.6072074,0.0675136446,25.88,67.5136446
440.626503,0.0675134211,25.88,67.5134211
441.6462219,0.0675134435,25.88,67.5134435
442.6662834,0.0675128474,25.88,67.5128474
443.698252,0.0675125122,25.86,67.5125122
444.7179977,0.0675123482,25.88,67.5123482
445.7369417,0.067511782,25.92,67.511782
446.7927809,0.067512229,25.88,67.512229
447.8125278,0.0675120577,25.88,67.5120577
448.8344158,0.0675107017,25.88,67.5107017
449.8540841,0.0675099641,25.86,67.5099641
450.8735257,0.0675100609,25.92,67.5100609
451.9050891,0.0675104409,25.88,67.5104409
452.924685,0.0675099566,25.86,67.5099566
