Longitud,Amplitud
288.53,17.17
288.8,2.17
289.06,23.17
289.33,8.17
289.6,4.17
289.87,8.17
290.13,8.17
290.4,-17.83
290.67,-4.83
290.93,30.17
291.2,12.17
291.47,-40.83
291.74,-11.83
292,-17.83
292.27,22.17
292.54,-9.83
292.8,12.17
293.07,-0.83
293.34,-5.83
293.6,-2.83
293.87,-38.83
294.14,-11.83
294.41,0.17
294.67,20.17
294.94,8.17
295.21,3.17
295.47,3.17
295.74,-6.83
296.01,-25.83
296.27,-16.83
296.54,0.17
296.81,5.17
297.07,8.17
297.34,27.17
297.61,13.17
297.87,-2.83
298.14,-2.83
298.41,23.17
298.67,35.17
298.94,25.17
299.21,4.17
299.47,8.17
299.74,-2.83
300.01,-15.83
300.27,21.17
300.54,-0.83
300.81,15.17
301.07,-1.83
301.34,-24.83
301.61,-14.83
301.87,-7.83
302.14,14.17
302.41,28.17
302.67,4.17
302.94,8.17
303.21,11.17
303.47,-20.83
303.74,-21.83
304.01,-1.83
304.27,18.17
304.54,-2.83
304.81,-13.83
305.07,16.17
305.34,24.17
305.61,33.17
305.87,7.17
306.14,25.17
306.41,-12.83
306.67,-1.83
306.94,-48.83
307.21,-43.83
307.47,-15.83
307.74,-28.83
308.01,-8.83
308.27,1.17
308.54,4.17
308.8,-28.83
309.07,-31.83
309.34,-19.83
309.6,6.17
309.87,-15.83
310.14,-29.83
310.4,-39.83
310.67,-32.83
310.93,-19.83
311.2,3.17
311.47,22.17
311.73,-3.83
312,13.17
312.27,37.17
312.53,12.17
312.8,14.17
313.06,4.17
313.33,-17.83
313.6,-8.83
313.86,-13.83
314.13,-19.83
314.4,6.17
314.66,-12.83
314.93,-41.83
315.19,8.17
315.46,12.17
315.73,1.17
315.99,52.17
316.26,8.17
316.52,7.17
316.79,-2.83
317.06,-17.83
317.32,-14.83
317.59,3.17
317.86,-27.83
318.12,-37.83
318.39,-22.83
318.65,-38.83
318.92,-16.83
319.19,-19.83
319.45,-12.83
319.72,-24.83
319.98,18.17
320.25,20.17
320.52,-1.83
320.78,-18.83
321.05,-1.83
321.31,10.17
321.58,-28.83
321.84,-15.83
322.11,-5.83
322.38,-9.83
322.64,-6.83
322.91,5.17
323.17,1.17
323.44,-31.83
323.71,-4.83
323.97,-22.83
324.24,-5.83
324.5,-3.83
324.77,-9.83
325.03,-14.83
325.3,-18.83
325.57,-26.83
325.83,-2.83
326.1,14.17
326.36,28.17
326.63,-26.83
326.89,-11.83
327.16,7.17
327.43,-1.83
327.69,-2.83
327.96,-2.83
328.22,-4.83
328.49,29.17
328.75,-13.83
329.02,9.17
329.29,-15.83
329.55,-30.83
329.82,-7.83
330.08,9.17
330.35,-9.83
330.61,8.17
330.88,1.17
331.14,9.17
331.41,9.17
331.68,37.17
331.94,-3.83
332.21,7.17
332.47,7.17
332.74,-6.83
333,-15.83
333.27,-5.83
333.53,17.17
333.8,47.17
334.06,14.17
334.33,13.17
334.6,-2.83
334.86,-15.83
335.13,-26.83
335.39,12.17
335.66,17.17
335.92,-16.83
336.19,-21.83
336.45,25.17
336.72,12.17
336.98,4.17
337.25,8.17
337.51,9.17
337.78,-5.83
338.05,5.17
338.31,13.17
338.58,28.17
338.84,22.17
339.11,-25.83
339.37,-22.83
339.64,-24.83
339.9,-24.83
340.17,-12.83
340.43,-8.83
340.7,-12.83
340.96,-18.83
341.23,-13.83
341.49,-4.83
341.76,-29.83
342.02,4.17
342.29,17.17
342.55,-5.83
342.82,5.17
343.08,-6.83
343.35,0.17
343.61,-20.83
343.88,-20.83
344.14,11.17
344.41,20.17
344.67,31.17
344.94,10.17
345.2,18.17
345.47,14.17
345.73,29.17
346,-5.83
346.26,10.17
346.53,10.17
346.79,37.17
347.06,13.17
347.32,-12.83
347.59,0.17
347.85,9.17
348.12,28.17
348.38,3.17
348.65,12.17
348.91,28.17
349.18,1.17
349.44,8.17
349.71,-12.83
349.97,-18.83
350.24,-25.83
350.5,-9.83
350.77,17.17
351.03,31.17
351.3,-17.83
351.56,-14.83
351.83,36.17
352.09,25.17
352.36,-9.83
352.62,-18.83
352.89,36.17
353.15,16.17
353.41,-27.83
353.68,-9.83
353.94,-0.83
354.21,22.17
354.47,21.17
354.74,8.17
355,4.17
355.27,-21.83
355.53,-5.83
355.8,10.17
356.06,34.17
356.33,-2.83
356.59,7.17
356.86,3.17
357.12,13.17
357.38,-15.83
357.65,-12.83
357.91,-4.83
358.18,24.17
358.44,33.17
358.71,8.17
358.97,-6.83
359.24,4.17
359.5,10.17
359.76,8.17
360.03,-0.83
360.29,5.17
360.56,-9.83
360.82,10.17
361.09,-9.83
361.35,-6.83
361.62,-7.83
361.88,-20.83
362.14,7.17
362.41,2.17
362.67,6.17
362.94,-14.83
363.2,-17.83
363.47,-5.83
363.73,16.17
364,1.17
364.26,-19.83
364.52,13.17
364.79,-6.83
365.05,8.17
365.32,2.17
365.58,-7.83
365.85,13.17
366.11,-2.83
366.37,9.17
366.64,33.17
366.9,16.17
367.17,-23.83
367.43,7.17
367.69,25.17
367.96,20.17
368.22,-1.83
368.49,13.17
368.75,-15.83
369.02,-8.83
369.28,4.17
369.54,-33.83
369.81,-16.83
370.07,-9.83
370.34,-14.83
370.6,-6.83
370.86,-45.83
371.13,-20.83
371.39,-24.83
371.66,19.17
371.92,17.17
372.18,-1.83
372.45,-24.83
372.71,-22.83
372.98,-12.83
373.24,17.17
373.5,21.17
373.77,-3.83
374.03,-6.83
374.3,-0.83
374.56,-8.83
374.82,6.17
375.09,11.17
375.35,-17.83
375.62,-19.83
375.88,-2.83
376.14,-9.83
376.41,3.17
376.67,5.17
376.93,-14.83
377.2,-15.83
377.46,12.17
377.73,1.17
377.99,5.17
378.25,8.17
378.52,28.17
378.78,23.17
379.05,-15.83
379.31,-6.83
379.57,1.17
379.84,10.17
380.1,-14.83
380.36,-1.83
380.63,-12.83
380.89,-9.83
381.15,-12.83
381.42,17.17
381.68,3.17
381.95,4.17
382.21,0.17
382.47,6.17
382.74,8.17
383,-6.83
383.26,-23.83
383.53,-19.83
383.79,10.17
384.05,-20.83
384.32,-22.83
384.58,20.17
384.85,1.17
385.11,-22.83
385.37,-19.83
385.64,9.17
385.9,22.17
386.16,-26.83
386.43,-0.83
386.69,9.17
386.95,13.17
387.22,-3.83
387.48,-2.83
387.74,-22.83
388.01,-10.83
388.27,1.17
388.53,8.17
388.8,-5.83
389.06,-22.83
389.32,4.17
389.59,-9.83
389.85,-17.83
390.11,-0.83
390.38,-73.83
390.64,-36.83
390.9,-6.83
391.17,-1.83
391.43,26.17
391.69,2.17
391.96,64.17
392.22,190.17
392.48,17.17
392.75,6.17
393.01,-0.83
393.27,-15.83
393.54,-7.83
393.8,34.17
394.06,7.17
394.33,5.17
394.59,-13.83
394.85,-20.83
395.12,2.17
395.38,13.17
395.64,-16.83
395.91,1.17
396.17,-1.83
396.43,-5.83
396.7,-7.83
396.96,0.17
397.22,18.17
397.48,-41.83
397.75,-27.83
398.01,22.17
398.27,15.17
398.54,-0.83
398.8,10.17
399.06,2.17
399.33,-10.83
399.59,-15.83
399.85,-30.83
400.11,-38.83
400.38,-29.83
400.64,-5.83
400.9,13.17
401.17,13.17
401.43,3.17
401.69,-0.83
401.96,-20.83
402.22,-14.83
402.48,7.17
402.74,-8.83
403.01,-13.83
403.27,-3.83
403.53,-17.83
403.8,-18.83
404.06,3.17
404.32,-7.83
404.58,3.17
404.85,3.17
405.11,-12.83
405.37,-22.83
405.64,-4.83
405.9,7.17
406.16,-17.83
406.42,-10.83
406.69,-18.83
406.95,-11.83
407.21,2.17
407.47,33.17
407.74,12.17
408,2.17
408.26,5.17
408.53,-5.83
408.79,3.17
409.05,15.17
409.31,-2.83
409.58,13.17
409.84,3.17
410.1,9.17
410.36,25.17
410.63,-12.83
410.89,0.17
411.15,10.17
411.41,-5.83
411.68,-32.83
411.94,-21.83
412.2,3.17
412.46,-9.83
412.73,-2.83
412.99,16.17
413.25,-2.83
413.51,0.17
413.78,6.17
414.04,-14.83
414.3,-2.83
414.56,20.17
414.83,29.17
415.09,25.17
415.35,-9.83
415.61,2.17
415.88,-18.83
416.14,17.17
416.4,-2.83
416.66,-8.83
416.93,-17.83
417.19,1.17
417.45,23.17
417.71,-11.83
417.98,-13.83
418.24,-11.83
418.5,-9.83
418.76,23.17
419.02,8.17
419.29,18.17
419.55,31.17
419.81,42.17
420.07,-1.83
420.34,-15.83
420.6,4.17
420.86,0.17
421.12,4.17
421.38,7.17
421.65,-3.83
421.91,2.17
422.17,16.17
422.43,-31.83
422.7,-23.83
422.96,-9.83
423.22,-14.83
423.48,16.17
423.74,4.17
424.01,-35.83
424.27,-0.83
424.53,10.17
424.79,32.17
425.05,-4.83
425.32,-21.83
425.58,-30.83
425.84,-16.83
426.1,-33.83
426.36,-25.83
426.63,0.17
426.89,9.17
427.15,26.17
427.41,-8.83
427.67,11.17
427.94,16.17
428.2,9.17
428.46,6.17
428.72,-2.83
428.98,-24.83
429.25,-21.83
429.51,-23.83
429.77,6.17
430.03,-6.83
430.29,0.17
430.56,2.17
430.82,4.17
431.08,-24.83
431.34,8.17
431.6,-7.83
431.87,4.17
432.13,-1.83
432.39,-23.83
432.65,-13.83
432.91,-21.83
433.17,-25.83
433.44,8.17
433.7,0.17
433.96,6.17
434.22,1.17
434.48,-6.83
434.74,-27.83
435.01,-1.83
435.27,-14.83
435.53,10.17
435.79,5.17
436.05,-0.83
436.31,41.17
436.58,6.17
436.84,-1.83
437.1,22.17
437.36,24.17
437.62,18.17
437.88,2.17
438.15,3.17
438.41,4.17
438.67,-28.83
438.93,15.17
439.19,150.17
439.45,20.17
439.72,-14.83
439.98,7.17
440.24,5.17
440.5,17.17
440.76,-0.83
441.02,-32.83
441.28,12.17
441.55,6.17
441.81,5.17
442.07,16.17
442.33,-16.83
442.59,-19.83
442.85,-22.83
443.11,-10.83
443.38,-3.83
443.64,0.17
443.9,-14.83
444.16,-13.83
444.42,17.17
444.68,9.17
444.94,12.17
445.21,-5.83
445.47,4.17
445.73,5.17
445.99,1.17
446.25,-3.83
446.51,-9.83
446.77,7.17
447.04,12.17
447.3,8.17
447.56,36.17
447.82,42.17
448.08,-14.83
448.34,-7.83
448.6,-9.83
448.86,-5.83
449.12,-10.83
449.39,-2.83
449.65,-10.83
449.91,1.17
450.17,-11.83
