Longitud,Amplitud
186,0
186.27,-585.35
186.54,-585.35
186.81,-32.35
187.08,-37.35
187.36,-7.35
187.63,-7.35
187.9,1.65
188.17,-12.35
188.44,-7.35
188.71,9.65
188.98,-0.35
189.25,18.65
189.52,7.65
189.79,3.65
190.07,0.65
190.34,-14.35
190.61,-24.35
190.88,-9.35
191.15,-19.35
191.42,0.65
191.69,2.65
191.96,-16.35
192.23,-4.35
192.5,-8.35
192.77,-3.35
193.05,9.65
193.32,2.65
193.59,-10.35
193.86,8.65
194.13,3.65
194.4,7.65
194.67,12.65
194.94,-0.35
195.21,13.65
195.48,9.65
195.75,3.65
196.02,13.65
196.29,0.65
196.56,-6.35
196.84,-6.35
197.11,3.65
197.38,1.65
197.65,4.65
197.92,14.65
198.19,7.65
198.46,1.65
198.73,7.65
199,-15.35
199.27,-19.35
199.54,-16.35
199.81,17.65
200.08,4.65
200.35,19.65
200.62,3.65
200.89,7.65
201.17,-1.35
201.44,10.65
201.71,-0.35
201.98,14.65
202.25,8.65
202.52,0.65
202.79,5.65
203.06,3.65
203.33,-7.35
203.6,1.65
203.87,8.65
204.14,-3.35
204.41,-5.35
204.68,9.65
204.95,1.65
205.22,7.65
205.49,12.65
205.76,-9.35
206.03,2.65
206.3,4.65
206.57,1.65
206.84,-2.35
207.11,-13.35
207.38,0.65
207.65,3.65
207.92,-16.35
208.19,-3.35
208.46,13.65
208.74,11.65
209.01,8.65
209.28,-4.35
209.55,4.65
209.82,-7.35
210.09,-5.35
210.36,4.65
210.63,12.65
210.9,11.65
211.17,-7.35
211.44,2.65
211.71,-1.35
211.98,12.65
212.25,12.65
212.52,16.65
212.79,10.65
213.06,12.65
213.33,6.65
213.6,1.65
213.87,-2.35
214.14,-10.35
214.41,2.65
214.68,10.65
214.95,-2.35
215.22,-3.35
215.49,4.65
215.76,11.65
216.03,3.65
216.3,10.65
216.57,1.65
216.84,14.65
217.11,9.65
217.38,-3.35
217.65,4.65
217.92,7.65
218.19,-2.35
218.46,10.65
218.73,13.65
219,-3.35
219.27,-15.35
219.54,-25.35
219.81,-4.35
220.07,13.65
220.34,-0.35
220.61,0.65
220.88,-2.35
221.15,-4.35
221.42,-1.35
221.69,-7.35
221.96,-3.35
222.23,5.65
222.5,20.65
222.77,-19.35
223.04,0.65
223.31,10.65
223.58,26.65
223.85,12.65
224.12,7.65
224.39,-1.35
224.66,9.65
224.93,4.65
225.2,-0.35
225.47,2.65
225.74,11.65
226.01,4.65
226.28,11.65
226.55,17.65
226.82,2.65
227.09,9.65
227.35,11.65
227.62,-5.35
227.89,-3.35
228.16,-13.35
228.43,-3.35
228.7,16.65
228.97,6.65
229.24,-1.35
229.51,-6.35
229.78,2.65
230.05,17.65
230.32,-8.35
230.59,-5.35
230.86,14.65
231.13,8.65
231.4,-0.35
231.67,11.65
231.93,8.65
232.2,-5.35
232.47,6.65
232.74,11.65
233.01,5.65
233.28,4.65
233.55,8.65
233.82,11.65
234.09,5.65
234.36,-8.35
234.63,-0.35
234.9,20.65
235.17,-6.35
235.43,5.65
235.7,6.65
235.97,-14.35
236.24,0.65
236.51,-0.35
236.78,12.65
237.05,16.65
237.32,24.65
237.59,3.65
237.86,-8.35
238.13,-9.35
238.4,15.65
238.66,14.65
238.93,8.65
239.2,10.65
239.47,12.65
239.74,-3.35
240.01,-17.35
240.28,11.65
240.55,-3.35
240.82,-3.35
