Longitud,Amplitud
199.33,0.00E+00
200.13,0.00E+00
200.93,-0.00E+00
201.73,0.00E+00
202.53,0.00E+00
203.33,0.00E+00
204.13,0.00E+00
204.94,0.00E+00
205.74,0.00E+00
206.54,0.00E+00
207.34,0.00E+00
208.14,0.00E+00
208.94,-0.00E+00
209.74,0.00E+00
210.54,0.00E+00
211.34,0.00E+00
212.14,-0.00E+00
212.94,0.00E+00
213.74,0.00E+00
214.55,0.00E+00
215.35,0.00E+00
216.15,0.00E+00
216.95,0.00E+00
217.75,0.00E+00
218.55,0.00E+00
219.35,0.00E+00
220.15,-0.00E+00
220.95,0.00E+00
221.75,0.00E+00
222.55,0.00E+00
223.35,0.00E+00
224.15,0.00E+00
224.95,0.00E+00
225.75,0.00E+00
226.55,0.00E+00
227.35,0.00E+00
228.15,0.00E+00
228.94,0.00E+00
229.74,0.00E+00
230.54,-0.00E+00
231.34,0.00E+00
232.14,-0.00E+00
232.94,0.00E+00
233.74,0.00E+00
234.54,0.00E+00
235.34,0.00E+00
236.14,0.00E+00
236.94,0.00E+00
237.73,0.00E+00
238.53,0.00E+00
239.33,0.00E+00
240.13,0.00E+00
240.93,0.00E+00
241.73,-0.00E+00
242.53,0.00E+00
243.32,-0.00E+00
244.12,0.00E+00
244.92,0.00E+00
245.72,0.00E+00
246.52,0.00E+00
247.32,0.00E+00
248.11,0.00E+00
248.91,0.00E+00
249.71,0.00E+00
250.51,0.00E+00
251.31,-0.00E+00
252.1,0.00E+00
252.9,-0.00E+00
253.7,0.00E+00
254.5,0.00E+00
255.29,0.00E+00
256.09,0.00E+00
256.89,0.00E+00
257.69,0.00E+00
258.48,-0.00E+00
259.28,0.00E+00
260.08,-0.00E+00
260.87,0.00E+00
261.67,0.00E+00
262.47,0.00E+00
263.26,0.00E+00
264.06,0.00E+00
264.86,0.00E+00
265.66,0.00E+00
266.45,-0.00E+00
267.25,0.00E+00
268.04,0.00E+00
268.84,0.00E+00
269.64,-0.00E+00
270.43,0.00E+00
271.23,0.00E+00
272.03,0.00E+00
272.82,0.00E+00
273.62,0.00E+00
274.41,-0.00E+00
275.21,0.00E+00
276.01,-0.00E+00
276.8,0.00E+00
277.6,-0.00E+00
278.39,0.00E+00
279.19,0.00E+00
279.99,0.00E+00
280.78,0.00E+00
281.58,0.00E+00
282.37,0.00E+00
283.17,0.00E+00
283.96,0.00E+00
284.76,0.00E+00
285.55,0.00E+00
286.35,0.00E+00
287.14,0.00E+00
287.94,-0.00E+00
288.73,0.00E+00
289.53,-0.00E+00
290.32,0.00E+00
291.12,0.00E+00
291.91,-0.00E+00
292.71,0.00E+00
293.5,0.00E+00
294.3,0.00E+00
295.09,0.00E+00
295.88,0.00E+00
296.68,0.00E+00
297.47,0.00E+00
298.27,0.00E+00
299.06,0.00E+00
299.86,-0.00E+00
300.65,7.76E+00
301.44,-4.93E+00
302.24,4.36E+00
303.03,4.07E+00
303.83,1.35E+01
304.62,2.02E+00
305.41,4.46E+00
306.21,-2.27E+00
307,4.28E+00
307.79,6.83E+00
308.59,0.00E+00
309.38,0.00E+00
310.17,6.84E+00
310.97,7.33E+00
311.76,4.52E+00
312.55,-2.19E+00
313.35,6.78E+00
314.14,0.00E+00
314.93,0.00E+00
315.72,7.94E+00
316.52,0.00E+00
317.31,1.24E+01
318.1,-2.50E+00
318.89,4.80E+00
319.69,7.75E+00
320.48,2.53E+00
321.27,1.50E+01
322.06,1.18E+01
322.86,0.00E+00
323.65,2.23E+00
324.44,7.22E+00
325.23,6.99E+00
326.03,6.77E+00
326.82,9.91E+00
327.61,-2.35E+00
328.4,0.00E+00
329.19,0.00E+00
329.98,4.52E+00
330.78,3.71E+00
331.57,7.77E+00
332.36,0.00E+00
333.15,1.56E+00
333.94,8.12E+00
334.73,0.00E+00
335.52,3.56E+00
336.32,3.19E+00
337.11,3.04E+00
337.9,3.06E+00
338.69,-1.47E+00
339.48,4.58E+00
340.27,1.41E+00
341.06,3.96E+00
341.85,1.31E+00
342.64,6.88E+00
343.43,2.54E+00
344.22,2.72E+00
345.02,3.79E+00
345.81,4.73E+00
346.6,2.47E+00
347.39,0.00E+00
348.18,4.06E+00
348.97,1.27E+00
349.76,2.70E+00
350.55,3.84E+00
351.34,0.00E+00
352.13,5.36E+00
352.92,-2.75E+00
353.71,2.73E+00
354.5,2.69E+00
355.29,-1.41E+00
356.08,5.59E+00
356.87,0.00E+00
357.66,4.37E+00
358.44,0.00E+00
359.23,1.51E+00
360.02,1.51E+00
360.81,2.84E+00
361.6,0.00E+00
362.39,0.00E+00
363.18,4.07E+00
363.97,0.00E+00
364.76,0.00E+00
365.55,-1.33E+00
366.34,2.58E+00
367.12,5.05E+00
367.91,1.22E+00
368.7,3.67E+00
369.49,0.00E+00
370.28,2.21E+00
371.07,0.00E+00
371.86,5.00E+00
372.64,9.54E-01
373.43,1.96E+00
374.22,9.78E-01
375.01,2.81E+00
375.8,0.00E+00
376.58,4.32E+00
377.37,8.64E-01
378.16,-8.30E-01
378.95,8.15E-01
379.74,2.46E+00
380.52,2.36E+00
381.31,1.51E+00
382.1,1.47E+00
382.89,1.43E+00
383.67,2.85E+00
384.46,2.05E+00
385.25,2.67E+00
386.04,-6.49E-01
386.82,3.82E+00
387.61,6.25E-01
388.4,2.42E+00
389.18,0.00E+00
389.97,2.36E+00
390.76,2.31E+00
391.54,1.15E+00
392.33,2.82E+00
393.12,5.52E-01
393.9,2.15E+00
394.69,2.63E+00
395.48,0.00E+00
396.26,2.58E+00
397.05,-5.08E-01
397.84,4.98E-01
398.62,5.04E-01
399.41,2.47E+00
400.19,2.52E+00
400.98,4.78E-01
401.77,4.72E-01
402.55,1.87E+00
403.34,2.81E+00
404.12,1.38E+00
404.91,4.53E-01
405.69,2.24E+00
406.48,1.33E+00
407.27,2.17E+00
408.05,1.74E+00
408.84,1.75E+00
409.62,1.27E+00
410.41,0.00E+00
411.19,1.25E+00
411.98,-4.10E-01
412.76,2.03E+00
413.55,0.00E+00
414.33,0.00E+00
415.12,1.58E+00
415.9,3.94E-01
416.69,3.89E-01
417.47,3.80E-01
418.26,1.90E+00
419.04,7.42E-01
419.82,1.13E+00
420.61,7.35E-01
421.39,3.61E-01
422.18,1.80E+00
422.96,1.07E+00
423.75,3.52E-01
424.53,3.55E-01
425.31,1.40E+00
426.1,1.74E+00
426.88,3.45E-01
427.67,1.02E+00
428.45,1.68E+00
429.23,3.35E-01
430.02,1.33E+00
430.8,9.85E-01
431.58,1.30E+00
432.37,3.26E-01
433.15,1.29E+00
433.93,6.40E-01
434.72,9.57E-01
435.5,0.00E+00
436.28,6.23E-01
437.07,1.56E+00
437.85,1.55E+00
438.63,1.24E+00
439.41,1.84E+00
440.2,1.23E+00
440.98,1.52E+00
441.76,0.00E+00
442.54,1.21E+00
443.33,1.21E+00
444.11,8.98E-01
444.89,1.19E+00
445.67,5.93E-01
446.46,1.17E+00
447.24,2.95E-01
448.02,8.85E-01
448.8,5.82E-01
449.58,1.16E+00
450.37,5.82E-01
451.15,1.73E+00
451.93,8.60E-01
452.71,1.14E+00
453.49,2.83E-01
454.27,1.13E+00
455.06,5.64E-01
455.84,8.36E-01
456.62,1.66E+00
457.4,5.52E-01
458.18,1.37E+00
458.96,-2.73E-01
459.74,1.36E+00
460.52,1.35E+00
461.31,8.03E-01
462.09,1.60E+00
462.87,1.85E+00
463.65,7.90E-01
464.43,1.30E+00
465.21,1.03E+00
465.99,1.29E+00
466.77,7.62E-01
467.55,1.52E+00
468.33,7.47E-01
469.11,9.96E-01
469.89,7.38E-01
470.67,1.22E+00
471.45,1.95E+00
472.23,7.18E-01
473.01,1.43E+00
473.79,7.09E-01
474.57,7.02E-01
475.35,1.40E+00
476.13,2.31E-01
476.91,1.14E+00
477.69,6.82E-01
478.47,1.13E+00
479.25,1.12E+00
480.03,8.85E-01
480.81,1.54E+00
481.59,4.35E-01
482.37,1.50E+00
483.14,6.43E-01
483.92,8.45E-01
484.7,1.47E+00
485.48,2.08E-01
486.26,1.86E+00
487.04,6.16E-01
487.82,8.09E-01
488.6,1.00E+00
489.37,1.00E+00
490.15,1.77E+00
490.93,1.57E+00
491.71,9.75E-01
492.49,1.16E+00
493.27,9.55E-01
494.04,9.49E-01
494.82,9.42E-01
495.6,1.31E+00
496.38,5.58E-01
497.16,1.67E+00
497.93,1.65E+00
498.71,1.46E+00
499.49,1.81E+00
500.27,9.00E-01
501.04,1.25E+00
501.82,7.09E-01
502.6,1.41E+00
503.38,1.40E+00
504.15,8.70E-01
504.93,1.73E+00
505.71,1.20E+00
506.48,1.71E+00
507.26,8.45E-01
508.04,1.68E+00
508.82,5.00E-01
509.59,1.16E+00
510.37,1.31E+00
511.15,1.64E+00
511.92,1.14E+00
512.7,1.78E+00
513.47,1.13E+00
514.25,1.12E+00
515.03,1.11E+00
515.8,1.11E+00
516.58,1.41E+00
517.36,9.38E-01
518.13,7.80E-01
518.91,1.08E+00
519.68,9.31E-01
520.46,7.71E-01
521.24,1.38E+00
522.01,6.12E-01
522.79,1.37E+00
523.56,1.06E+00
524.34,1.06E+00
525.11,1.20E+00
525.89,1.35E+00
526.66,1.20E+00
527.44,1.50E+00
528.21,1.49E+00
528.99,1.33E+00
529.76,1.18E+00
530.54,1.18E+00
531.31,1.33E+00
532.09,1.17E+00
532.86,1.60E+00
533.64,1.46E+00
534.41,8.68E-01
535.19,1.15E+00
535.96,7.20E-01
536.74,1.43E+00
537.51,8.56E-01
538.28,1.28E+00
539.06,1.42E+00
539.83,1.42E+00
540.61,1.56E+00
541.38,1.28E+00
542.15,1.13E+00
542.93,1.41E+00
543.7,5.63E-01
544.48,1.13E+00
545.25,9.81E-01
546.02,1.26E+00
546.8,1.26E+00
547.57,1.12E+00
548.34,1.53E+00
549.12,6.93E-01
549.89,1.80E+00
550.66,9.68E-01
551.43,1.24E+00
552.21,9.68E-01
552.98,1.10E+00
553.75,1.24E+00
554.53,1.37E+00
555.3,1.64E+00
556.07,1.36E+00
556.84,1.23E+00
557.62,1.22E+00
558.39,9.53E-01
559.16,1.64E+00
559.93,1.09E+00
