Corriente,Potencia
0,6.42E-08
0,0.048955
15.4493333333333,0.179483333333333
25.7028333333333,0.325033333333333
35.9213333333333,0.479883333333333
46.1526666666667,0.642833333333333
56.2788333333333,0.811466666666667
66.3655,0.984483333333333
76.6756666666667,1.16683333333333
87.1468333333333,1.35716666666667
97.3413333333334,1.54633333333333
107.631,1.74133333333333
118,1.94116666666667
128.343666666667,2.14533333333333
138.693333333333,2.35433333333333
149.036666666667,2.56966666666667
159.437,2.79066666666667
170.2025,3.02816666666667
181.1505,3.2835
192.4395,3.564
203.482,3.86783333333333
214.2695,4.212
225.249166666667,4.654
236.305833333333,5.32616666666667
247.313333333333,7.2295
258.3725,15.0433333333333
269.505666666667,27.1833333333333
280.593666666667,38.3433333333333
291.611333333333,47.6666666666667
302.698666666667,54.7266666666667
313.618333333333,59.8466666666667
324.446166666667,63.6783333333333
335.431333333333,66.665
345.3705,68.9133333333333
353.5785,70.5133333333333
