Longitud,Amplitud
186,607
186.27,-365.43
186.54,-365.43
186.81,-395.43
187.08,-310.43
187.36,-66.43
187.63,-29.43
187.9,133.57
188.17,43.57
188.44,-201.43
188.71,-94.43
188.98,181.57
189.25,120.57
189.52,-120.43
189.79,-103.43
190.07,157.57
190.34,82.57
190.61,-173.43
190.88,-52.43
191.15,182.57
191.42,93.57
191.69,-159.43
191.96,-18.43
192.23,207.57
192.5,40.57
192.77,-169.43
193.05,-148.43
193.32,3.57
193.59,13.57
193.86,-152.43
194.13,-73.43
194.4,153.57
194.67,12.57
194.94,-178.43
195.21,-63.43
195.48,168.57
195.75,100.57
196.02,-112.43
196.29,40.57
196.56,243.57
196.84,54.57
197.11,-96.43
197.38,37.57
197.65,75.57
197.92,15.57
198.19,-151.43
198.46,-68.43
198.73,198.57
199,138.57
199.27,-126.43
199.54,-2.43
199.81,302.57
200.08,99.57
200.35,-136.43
200.62,-52.43
200.89,171.57
201.17,111.57
201.44,-126.43
201.71,-60.43
201.98,170.57
202.25,125.57
202.52,-101.43
202.79,-35.43
203.06,125.57
203.33,23.57
203.6,-146.43
203.87,-90.43
204.14,180.57
204.41,195.57
204.68,-126.43
204.95,-51.43
205.22,211.57
205.49,120.57
205.76,-130.43
206.03,-10.43
206.3,141.57
206.57,-17.43
206.84,-183.43
207.11,-70.43
207.38,211.57
207.65,105.57
207.92,-158.43
208.19,-19.43
208.46,223.57
208.74,70.57
209.01,-178.43
209.28,-93.43
209.55,111.57
209.82,104.57
210.09,-157.43
210.36,-81.43
210.63,115.57
210.9,25.57
211.17,-74.43
211.44,-53.43
211.71,214.57
211.98,250.57
212.25,-96.43
212.52,-19.43
212.79,265.57
213.06,17.57
213.33,-129.43
213.6,-28.43
213.87,168.57
214.14,121.57
214.41,-105.43
214.68,0.57
214.95,199.57
215.22,82.57
215.49,-99.43
215.76,23.57
216.03,282.57
216.3,130.57
216.57,-148.43
216.84,-20.43
217.11,239.57
217.38,146.57
217.65,-153.43
217.92,-52.43
218.19,438.57
218.46,604.57
218.73,-146.43
219,-109.43
219.27,132.57
219.54,53.57
219.81,-156.43
220.07,-96.43
220.34,136.57
220.61,124.57
220.88,-113.43
221.15,-61.43
221.42,114.57
221.69,149.57
221.96,-150.43
222.23,-28.43
222.5,175.57
222.77,84.57
223.04,-119.43
223.31,-50.43
223.58,109.57
223.85,46.57
224.12,-172.43
224.39,-98.43
224.66,184.57
224.93,125.57
225.2,-151.43
225.47,-60.43
225.74,242.57
226.01,172.57
226.28,-127.43
226.55,-15.43
226.82,256.57
227.09,51.57
227.35,-107.43
227.62,37.57
227.89,254.57
228.16,100.57
228.43,-158.43
228.7,-50.43
228.97,142.57
229.24,-0.43
229.51,-178.43
229.78,-59.43
230.05,108.57
230.32,62.57
230.59,-151.43
230.86,-74.43
231.13,75.57
231.4,-19.43
231.67,-133.43
231.93,-87.43
232.2,76.57
232.47,62.57
232.74,-162.43
233.01,-56.43
233.28,195.57
233.55,153.57
233.82,-143.43
234.09,-47.43
234.36,192.57
234.63,45.57
234.9,-158.43
235.17,-62.43
235.43,142.57
235.7,52.57
235.97,-118.43
236.24,-71.43
236.51,171.57
236.78,148.57
237.05,-148.43
237.32,-36.43
237.59,219.57
237.86,133.57
238.13,-166.43
238.4,-91.43
238.66,126.57
238.93,-51.43
239.2,-141.43
239.47,56.57
239.74,335.57
240.01,38.57
240.28,-137.43
240.55,-6.43
240.82,185.57
241.09,-3.43
241.35,-159.43
241.62,-34.43
241.89,201.57
242.16,96.57
242.43,-173.43
242.7,-105.43
242.97,195.57
243.24,72.57
243.51,-126.43
243.77,-45.43
244.04,248.57
244.31,162.57
244.58,-123.43
244.85,-122.43
245.12,-23.43
245.39,-3.43
245.66,-161.43
245.93,-83.43
246.19,137.57
246.46,77.57
246.73,-150.43
247,-13.43
247.27,256.57
247.54,79.57
247.81,-166.43
248.07,-57.43
248.34,169.57
248.61,90.57
248.88,-149.43
249.15,-68.43
249.42,121.57
249.69,47.57
249.96,-147.43
250.22,-35.43
250.49,144.57
250.76,-23.43
251.03,-135.43
251.3,-24.43
251.57,224.57
251.84,-19.43
252.1,-197.43
252.37,-71.43
252.64,218.57
252.91,108.57
253.18,-138.43
253.45,-112.43
253.72,112.57
253.98,70.57
254.25,-123.43
254.52,-85.43
254.79,124.57
255.06,171.57
255.33,-147.43
255.59,-48.43
255.86,86.57
256.13,-63.43
256.4,-110.43
256.67,-39.43
256.94,94.57
257.2,-1.43
257.47,-165.43
257.74,-92.43
258.01,171.57
258.28,57.57
258.55,-182.43
258.81,-104.43
259.08,92.57
259.35,99.57
259.62,-144.43
259.89,-158.43
260.16,-22.43
260.42,49.57
260.69,-116.43
260.96,-40.43
261.23,146.57
261.5,-9.43
261.76,-214.43
262.03,-34.43
262.3,277.57
262.57,115.57
262.84,-114.43
263.11,-42.43
263.37,87.57
263.64,16.57
263.91,-163.43
264.18,-40.43
264.45,177.57
264.71,61.57
264.98,-167.43
265.25,-6.43
265.52,230.57
265.79,28.57
266.05,-187.43
266.32,-37.43
266.59,207.57
266.86,88.57
267.13,-176.43
267.39,-67.43
267.66,93.57
267.93,2.57
268.2,-143.43
268.47,-84.43
268.73,52.57
269,-11.43
269.27,-171.43
269.54,-116.43
269.81,101.57
270.07,101.57
270.34,-163.43
270.61,-86.43
270.88,134.57
271.14,72.57
271.41,-136.43
271.68,-61.43
271.95,119.57
272.22,30.57
272.48,-135.43
272.75,-70.43
273.02,191.57
273.29,31.57
273.55,-179.43
273.82,-120.43
274.09,137.57
274.36,158.57
274.62,-122.43
274.89,-78.43
275.16,150.57
275.43,66.57
275.7,-144.43
275.96,-50.43
276.23,143.57
276.5,-15.43
276.77,-143.43
277.03,-33.43
277.3,105.57
277.57,-7.43
277.84,-179.43
278.1,-62.43
278.37,234.57
278.64,147.57
278.91,-150.43
279.17,-16.43
279.44,186.57
279.71,56.57
279.98,-90.43
280.24,19.57
280.51,69.57
280.78,-26.43
281.05,-122.43
281.31,-98.43
281.58,146.57
281.85,188.57
282.12,-152.43
282.38,-66.43
282.65,125.57
282.92,151.57
283.19,-97.43
283.45,-73.43
283.72,17.57
283.99,4.57
284.25,-157.43
284.52,-112.43
284.79,60.57
285.06,84.57
285.32,-114.43
285.59,-71.43
285.86,29.57
286.13,-27.43
286.39,-146.43
286.66,-92.43
286.93,157.57
287.19,84.57
287.46,-143.43
287.73,-72.43
288,179.57
288.26,183.57
288.53,-98.43
288.8,-59.43
289.06,190.57
289.33,19.57
289.6,-137.43
289.87,-7.43
290.13,229.57
290.4,4.57
290.67,-166.43
290.93,-54.43
291.2,165.57
291.47,-3.43
291.74,-157.43
292,-105.43
292.27,221.57
292.54,73.57
292.8,-164.43
293.07,-39.43
293.34,142.57
293.6,79.57
293.87,-124.43
294.14,-54.43
294.41,153.57
294.67,128.57
294.94,-189.43
295.21,-142.43
295.47,117.57
295.74,38.57
296.01,-153.43
296.27,-60.43
296.54,193.57
296.81,21.57
297.07,-115.43
297.34,-2.43
297.61,208.57
297.87,108.57
298.14,-192.43
298.41,-52.43
298.67,238.57
298.94,155.57
299.21,-145.43
299.47,-54.43
299.74,145.57
300.01,21.57
300.27,-109.43
300.54,-92.43
300.81,109.57
301.07,26.57
301.34,-169.43
301.61,-78.43
301.87,142.57
302.14,61.57
302.41,-107.43
302.67,-104.43
302.94,102.57
303.21,49.57
303.47,-147.43
303.74,-83.43
304.01,121.57
304.27,76.57
304.54,-191.43
304.81,-102.43
305.07,177.57
305.34,141.57
305.61,-60.43
305.87,-25.43
306.14,202.57
306.41,49.57
306.67,-120.43
306.94,-123.43
307.21,5.57
307.47,41.57
307.74,-104.43
308.01,-15.43
308.27,167.57
308.54,41.57
308.8,-177.43
309.07,-127.43
309.34,33.57
309.6,88.57
309.87,-151.43
310.14,-126.43
310.4,26.57
310.67,22.57
310.93,-112.43
311.2,-62.43
311.47,194.57
311.73,115.57
312,-93.43
312.27,12.57
312.53,194.57
312.8,129.57
313.06,-99.43
313.33,-130.43
313.6,17.57
313.86,60.57
314.13,-132.43
314.4,-55.43
314.66,86.57
314.93,-46.43
315.19,-123.43
315.46,-118.43
315.73,62.57
315.99,261.57
316.26,-112.43
316.52,-50.43
316.79,155.57
317.06,35.57
317.32,-125.43
317.59,-45.43
317.86,72.57
318.12,-19.43
318.39,-115.43
318.65,-107.43
318.92,77.57
319.19,101.57
319.45,-123.43
319.72,-58.43
319.98,208.57
320.25,151.57
320.52,-104.43
320.78,-82.43
321.05,77.57
321.31,68.57
321.58,-129.43
321.84,-89.43
322.11,106.57
322.38,20.57
322.64,-136.43
322.91,-30.43
323.17,139.57
323.44,9.57
323.71,-107.43
323.97,-86.43
324.24,77.57
324.5,56.57
324.77,-159.43
325.03,-68.43
325.3,85.57
325.57,46.57
325.83,-95.43
326.1,-10.43
326.36,160.57
326.63,23.57
326.89,-127.43
327.16,-48.43
327.43,126.57
327.69,134.57
327.96,-171.43
328.22,-73.43
328.49,193.57
328.75,17.57
329.02,-107.43
329.29,-126.43
329.55,44.57
329.82,106.57
330.08,-111.43
330.35,-99.43
330.61,136.57
330.88,63.57
331.14,-98.43
331.41,-18.43
331.68,233.57
331.94,44.57
332.21,-151.43
332.47,-85.43
332.74,43.57
333,-20.43
333.27,-120.43
333.53,-2.43
333.8,290.57
334.06,102.57
334.33,-106.43
334.6,-115.43
334.86,1.57
335.13,-52.43
335.39,-111.43
335.66,-42.43
335.92,20.57
336.19,-25.43
336.45,-111.43
336.72,-23.43
336.98,122.57
337.25,113.57
337.51,-130.43
337.78,-81.43
338.05,104.57
338.31,74.57
338.58,-59.43
338.84,-37.43
339.11,18.57
339.37,12.57
339.64,-123.43
339.9,-128.43
340.17,52.57
340.43,33.57
340.7,-145.43
340.96,-69.43
341.23,126.57
341.49,124.57
341.76,-138.43
342.02,-50.43
342.29,170.57
342.55,35.57
342.82,-136.43
343.08,-36.43
343.35,176.57
343.61,24.57
343.88,-111.43
344.14,-19.43
344.41,210.57
344.67,140.57
344.94,-133.43
345.2,-40.43
345.47,212.57
345.73,135.57
346,-143.43
346.26,-51.43
346.53,191.57
346.79,133.57
