Tiempo,Corriente,Temperatura,Corriente2
0.000399,6.81E-09,18.69,6.80885969E-06
1.1144117,3.05E-08,18.75,3.05287812E-05
2.1352726,8.28E-08,18.71,8.28326207E-05
3.1546332,3.44E-08,18.59,3.4435402E-05
4.174858,7.87E-08,18.65,7.87023566E-05
5.1941887,7.11E-08,18.63,7.10569381E-05
6.2137885,-3.83E-09,18.63,-3.82758003E-06
7.2332287,2.48E-08,18.63,2.47856313E-05
8.252896,3.65E-08,18.65,3.65231187E-05
9.2731932,2.52E-08,18.69,2.51715555E-05
10.293476,5.00E-08,18.63,5.00247203E-05
11.3135425,9.64E-09,18.59,9.64131086E-06
12.332769,3.80E-08,18.59,3.8008153E-05
13.3518986,-5.73E-08,18.69,-5.72762814E-05
14.3716227,6.60E-08,18.65,6.59717755E-05
15.3919914,1.35E-07,18.65,0.000135467871
16.4116871,6.80E-08,18.69,6.80286404E-05
17.4315792,2.63E-07,18.69,0.000263287773
18.4509527,2.26E-07,18.53,0.000226155833
19.4707665,1.10E-07,18.49,0.000110132972
20.4909313,3.74E-05,18.53,0.037397207
21.5102971,3.74E-05,18.53,0.0373502807
22.5296464,3.74E-05,18.53,0.0374102128
23.5492134,3.73E-05,18.53,0.0373246039
24.5685514,3.75E-05,18.53,0.0374669507
25.5877891,3.73E-05,18.53,0.0372650138
26.6083319,3.73E-05,18.53,0.0372797076
27.62722,3.72E-05,18.53,0.0372275499
28.6471337,3.74E-05,18.49,0.0373514994
29.6667342,3.73E-05,18.49,0.0372948779
30.6888305,3.73E-05,18.41,0.0373217771
31.7082003,3.74E-05,18.53,0.0374107257
32.7277763,3.75E-05,18.49,0.0374730771
33.7474061,3.74E-05,18.49,0.0373635157
34.7668612,3.76E-05,18.47,0.037569709
35.7863708,0.000921733386,18.47,0.921733386
36.8068249,0.00276018702,18.47,2.76018702
37.8272192,0.00413355557,18.47,4.13355557
38.8463372,0.00413337582,18.49,4.13337582
39.8661535,0.00413345964,18.47,4.13345964
40.8854877,0.00413357187,18.47,4.13357187
41.905655,0.00413352809,18.43,4.13352809
42.9250202,0.00413350807,18.47,4.13350807
43.9448169,0.00413320306,18.43,4.13320306
44.9643961,0.00413314625,18.49,4.13314625
45.9841051,0.00413321657,18.41,4.13321657
47.0042016,0.00413331808,18.43,4.13331808
48.0243241,0.00413349736,18.43,4.13349736
49.0437985,0.00413354253,18.49,4.13354253
50.0641982,0.00413354812,18.47,4.13354812
51.0846508,0.00413346989,18.47,4.13346989
52.1039664,0.00413350714,18.47,4.13350714
53.1234897,0.00413334649,18.49,4.13334649
54.1430968,0.00413324544,18.49,4.13324544
55.1627627,0.00413340562,18.53,4.13340562
56.1838157,0.00413372786,18.47,4.13372786
57.2045029,0.00413355045,18.47,4.13355045
58.2247475,0.00413355603,18.41,4.13355603
59.2451779,0.00413412647,18.43,4.13412647
60.2643014,0.00413443194,18.37,4.13443194
61.2841937,0.00413416745,18.59,4.13416745
62.3032364,0.00413343496,18.53,4.13343496
63.3232359,0.00413313321,18.43,4.13313321
64.3430341,0.00413366593,18.43,4.13366593
65.3630579,0.00413348851,18.43,4.13348851
66.3837199,0.0041337721,18.47,4.1337721
67.403155,0.0041337856,18.37,4.1337856
68.4232555,0.00413373159,18.41,4.13373159
69.4488793,0.00413355184,18.37,4.13355184
70.4683176,0.00413301354,18.41,4.13301354
71.4882189,0.0041334615,18.31,4.1334615
72.5079686,0.00413352623,18.37,4.13352623
73.5280991,0.0041334778,18.43,4.1334778
74.5468515,0.00413342611,18.41,4.13342611
75.5670323,0.00413345033,18.41,4.13345033
76.6021979,0.00413349969,18.43,4.13349969
77.6218012,0.00413351971,18.41,4.13351971
78.6413405,0.00413350109,18.37,4.13350109
79.6651425,0.00413357187,18.37,4.13357187
80.6861934,0.00413346337,18.37,4.13346337
81.705714,0.00413359329,18.49,4.13359329
82.7249959,0.00413349317,18.41,4.13349317
83.7442483,0.00413345871,18.37,4.13345871
84.8321129,0.00413336325,18.43,4.13336325
85.8520072,0.00413339957,18.37,4.13339957
86.9425894,0.00413322728,18.41,4.13322728
87.962635,0.00413348991,18.47,4.13348991
88.9828496,0.00413358351,18.47,4.13358351
90.0360881,0.00413348106,18.47,4.13348106
91.0559052,0.00506290979,18.43,5.06290979
92.0757088,0.00675096688,18.47,6.75096688
93.1553219,0.00825769081,18.33,8.25769081
94.1754995,0.00825765542,18.31,8.25765542
95.1951123,0.00825776811,18.31,8.25776811
96.2661661,0.00825736764,18.31,8.25736764
97.2858603,0.00825811177,18.43,8.25811177
98.3058997,0.00825798418,18.33,8.25798418
99.3587785,0.00825827848,18.37,8.25827848
100.3786833,0.00825834926,18.33,8.25834926
101.397977,0.00825803913,18.33,8.25803913
102.4613513,0.00825863145,18.41,8.25863145
103.4811424,0.00825812947,18.33,8.25812947
104.5004275,0.00825840048,18.31,8.25840048
105.5493777,0.00825866777,18.33,8.25866777
106.569101,0.0082583772,18.33,8.2583772
107.5881413,0.00825840327,18.41,8.25840327
108.6348734,0.00825851131,18.43,8.25851131
109.6592307,0.0082584992,18.27,8.2584992
110.679379,0.00825845822,18.37,8.25845822
111.7310345,0.00825826823,18.43,8.25826823
112.7508608,0.0082584219,18.43,8.2584219
113.7698921,0.00825865101,18.47,8.25865101
114.789715,0.00825859606,18.43,8.25859606
115.8098573,0.00825875997,18.47,8.25875997
116.8293038,0.0082587786,18.47,8.2587786
117.8495865,0.00825869664,18.47,8.25869664
118.8698413,0.00825872458,18.31,8.25872458
119.9230576,0.00825842749,18.41,8.25842749
120.9429353,0.00825828593,18.47,8.25828593
121.9626338,0.00825889222,18.43,8.25889222
123.0104487,0.00825868081,18.47,8.25868081
124.0306794,0.00825866777,18.43,8.25866777
125.0497226,0.00825884938,18.43,8.25884938
126.1050466,0.00825867615,18.53,8.25867615
127.1253154,0.00826000422,18.43,8.26000422
128.1449789,0.00825950317,18.43,8.25950317
129.1647612,0.00825930479,18.47,8.25930479
130.1847979,0.00825957395,18.49,8.25957395
131.2393463,0.0082594864,18.47,8.2594864
132.2592264,0.00825978722,18.47,8.25978722
133.2786646,0.00825974345,18.49,8.25974345
134.2977128,0.0082599828,18.47,8.2599828
135.3169373,0.00825928058,18.53,8.25928058
136.3375307,0.00826002005,18.47,8.26002005
137.3578151,0.00825950037,18.47,8.25950037
138.3776233,0.00825961213,18.47,8.25961213
139.3995515,0.00825964007,18.47,8.25964007
140.4215532,0.00825945474,18.49,8.25945474
141.4412782,0.00825957208,18.47,8.25957208
142.4610326,0.00825955811,18.43,8.25955811
143.480477,0.00825982633,18.47,8.25982633
144.5008334,0.00825964007,18.47,8.25964007
145.521244,0.00825944263,18.49,8.25944263
146.5426919,0.00825977791,18.49,8.25977791
147.5623138,0.00825962238,18.41,8.25962238
148.5824067,0.00826013181,18.43,8.26013181
149.6027158,0.00826019514,18.47,8.26019514
150.6226531,0.00826048292,18.49,8.26048292
151.6420427,0.0082603069,18.63,8.2603069
152.6619737,0.00826025567,18.49,8.26025567
153.681044,0.00826023519,18.59,8.26023519
154.7012738,0.00825985427,18.55,8.25985427
155.7323357,0.00826033018,18.43,8.26033018
156.7512351,0.0082598403,18.53,8.2598403
157.7707186,0.00826009642,18.49,8.26009642
158.7899728,0.00825950037,18.49,8.25950037
159.8098142,0.00825962517,18.53,8.25962517
160.8296946,0.00825976394,18.49,8.25976394
161.8494611,0.00826002564,18.63,8.26002564
162.8690211,0.00825998838,18.49,8.25998838
163.8887048,0.00825995393,18.49,8.25995393
164.9082434,0.00826003123,18.41,8.26003123
165.928078,0.00825998466,18.47,8.25998466
166.9472146,0.00825972203,18.59,8.25972203
