,INTENSIDAD,,,,,,TRANSMITANCIA,,
Longitud de Onda,Hg-Lamp,,Cristal Chico,,Cristal Gde,,Chico,,Gde.
,,,,,,,,,
868.91,24.67,,25.29,,26.13,,102.5131739,,105.9181192
869.66,13.67,,15.29,,16.13,,111.8507681,,117.9956108
870.4,11.67,,12.29,,14.13,,105.3127678,,121.0796915
871.14,9.67,,12.29,,9.13,,127.0941055,,94.41571872
871.88,7.67,,8.29,,9.13,,108.083442,,119.0352021
872.62,8.67,,10.29,,7.13,,118.6851211,,82.23760092
873.36,7.67,,6.29,,8.13,,82.00782269,,105.9973924
874.1,7.67,,10.29,,10.13,,134.1590613,,132.0730117
874.84,9.67,,8.29,,8.13,,85.72905895,,84.07445708
875.59,8.67,,8.29,,11.13,,95.61707036,,128.3737024
876.33,10.67,,8.29,,10.13,,77.69447048,,94.93908154
877.07,10.67,,11.29,,14.13,,105.8106842,,132.4273664
877.81,9.67,,7.29,,8.13,,75.38779731,,84.07445708
878.55,11.67,,5.29,,9.13,,45.32990574,,78.23479006
879.29,7.67,,8.29,,8.13,,108.083442,,105.9973924
880.03,5.67,,11.29,,8.13,,199.1181658,,143.3862434
880.77,6.67,,6.29,,7.13,,94.30284858,,106.8965517
881.51,7.67,,5.29,,6.13,,68.97001304,,79.92177314
882.25,7.67,,6.29,,7.13,,82.00782269,,92.95958279
882.99,6.67,,7.29,,9.13,,109.2953523,,136.8815592
883.73,8.67,,6.29,,7.13,,72.54901961,,82.23760092
884.47,3.67,,6.29,,6.13,,171.3896458,,167.0299728
885.21,6.67,,6.29,,6.13,,94.30284858,,91.90404798
885.95,7.67,,7.29,,9.13,,95.04563233,,119.0352021
886.69,5.67,,7.29,,7.13,,128.5714286,,125.7495591
887.43,7.67,,9.29,,9.13,,121.1212516,,119.0352021
888.17,7.67,,7.29,,5.13,,95.04563233,,66.88396349
888.91,6.67,,4.29,,6.13,,64.31784108,,91.90404798
889.65,8.67,,7.29,,7.13,,84.08304498,,82.23760092
890.39,7.67,,7.29,,6.13,,95.04563233,,79.92177314
891.13,6.67,,5.29,,7.13,,79.31034483,,106.8965517
891.87,6.67,,8.29,,7.13,,124.2878561,,106.8965517
892.61,6.67,,9.29,,11.13,,139.2803598,,166.8665667
893.35,6.67,,7.29,,9.13,,109.2953523,,136.8815592
894.08,11.67,,7.29,,7.13,,62.46786632,,61.09682948
894.82,9.67,,8.29,,8.13,,85.72905895,,84.07445708
895.56,9.67,,9.29,,12.13,,96.07032058,,125.4395036
896.3,8.67,,8.29,,8.13,,95.61707036,,93.7716263
897.04,9.67,,8.29,,9.13,,85.72905895,,94.41571872
897.78,11.67,,11.29,,10.13,,96.74378749,,86.80377035
898.52,11.67,,8.29,,9.13,,71.03684662,,78.23479006
899.25,11.67,,11.29,,10.13,,96.74378749,,86.80377035
899.99,9.67,,11.29,,13.13,,116.7528438,,135.7807653
900.73,10.67,,12.29,,13.13,,115.1827554,,123.0552952
901.47,15.67,,13.29,,12.13,,84.81174218,,77.4090619
902.21,16.67,,17.29,,16.13,,103.7192561,,96.76064787
902.95,18.67,,20.29,,19.13,,108.677022,,102.4638457
903.68,24.67,,24.29,,22.13,,98.45966761,,89.70409404
904.42,26.67,,25.29,,26.13,,94.82564679,,97.97525309
905.16,27.67,,31.29,,33.13,,113.0827611,,119.7325623
905.9,35.67,,36.29,,38.13,,101.7381553,,106.8965517
906.63,45.67,,50.29,,50.13,,110.1160499,,109.7657105
907.37,56.67,,61.29,,62.13,,108.1524616,,109.6347274
908.11,70.67,,75.29,,81.13,,106.5374275,,114.8011886
908.85,90.67,,92.29,,98.13,,101.786699,,108.2276387
909.58,126.67,,125.29,,133.13,,98.91055499,,105.0998658
910.32,176.67,,179.29,,185.13,,101.4829909,,104.7885889
911.06,305.67,,314.29,,336.13,,102.8200347,,109.9649949
911.8,912.67,,961.29,,1022.13,,105.3272267,,111.9933821
912.53,3547.67,,3554.29,,3706.13,,100.1866013,,104.4665936
913.27,2999.67,,2800.29,,2893.13,,93.35326886,,96.44827598
914.01,953.67,,906.29,,957.13,,95.03182443,,100.3628089
914.74,376.67,,363.29,,375.13,,96.44781905,,99.59115406
915.48,197.67,,196.29,,205.13,,99.30186675,,103.7739667
916.22,121.67,,121.29,,126.13,,99.68767979,,103.665653
916.95,86.67,,86.29,,93.13,,99.56155532,,107.4535595
917.69,69.67,,73.29,,74.13,,105.1959236,,106.4016076
918.43,60.67,,68.29,,63.13,,112.5597495,,104.0547223
919.16,62.67,,60.29,,66.13,,96.20232966,,105.5209829
919.9,67.67,,69.29,,72.13,,102.3939707,,106.5908083
920.63,70.67,,72.29,,78.13,,102.2923447,,110.5561058
921.37,101.67,,102.29,,108.13,,100.6098161,,106.35389
922.11,246.67,,261.29,,272.13,,105.9269469,,110.3214821
922.84,725.67,,707.29,,743.13,,97.46716827,,102.4060523
923.58,437.67,,420.29,,438.13,,96.0289716,,100.105102
924.31,162.67,,158.29,,162.13,,97.30743222,,99.66803959
925.05,78.67,,73.29,,79.13,,93.16130672,,100.584721
925.78,47.67,,43.29,,47.13,,90.81183134,,98.86721208
926.52,33.67,,34.29,,35.13,,101.8414018,,104.3362043
927.25,25.67,,24.29,,28.13,,94.6240748,,109.583171
927.99,21.67,,19.29,,22.13,,89.0170743,,102.1227503
928.73,19.67,,17.29,,20.13,,87.90035587,,102.3385867
929.46,22.67,,21.29,,24.13,,93.9126599,,106.4402294
930.2,17.67,,14.29,,21.13,,80.87153367,,119.5812111
930.93,13.67,,13.29,,14.13,,97.2201902,,103.3650329
931.67,11.67,,14.29,,11.13,,122.4507284,,95.37275064
932.4,11.67,,11.29,,11.13,,96.74378749,,95.37275064
933.13,11.67,,11.29,,11.13,,96.74378749,,95.37275064
933.87,11.67,,12.29,,10.13,,105.3127678,,86.80377035
934.6,10.67,,12.29,,11.13,,115.1827554,,104.3111528
935.34,21.67,,22.29,,23.13,,102.8610983,,106.737425
936.07,30.67,,33.29,,32.13,,108.5425497,,104.7603521
936.81,17.67,,15.29,,16.13,,86.53084324,,91.28466327
937.54,9.67,,11.29,,11.13,,116.7528438,,115.098242
938.28,9.67,,9.29,,8.13,,96.07032058,,84.07445708
939.01,9.67,,10.29,,10.13,,106.4115822,,104.7569804
939.74,8.67,,5.29,,9.13,,61.01499423,,105.3056517
940.48,5.67,,6.29,,7.13,,110.9347443,,125.7495591
941.21,6.67,,8.29,,5.13,,124.2878561,,76.91154423
941.94,5.67,,7.29,,6.13,,128.5714286,,108.1128748
942.68,3.67,,3.29,,2.13,,89.64577657,,58.03814714
943.41,5.67,,6.29,,6.13,,110.9347443,,108.1128748
944.14,4.67,,4.29,,5.13,,91.86295503,,109.8501071
944.88,6.67,,3.29,,6.13,,49.32533733,,91.90404798
945.61,3.67,,5.29,,8.13,,144.1416894,,221.5258856
946.34,5.67,,7.29,,5.13,,128.5714286,,90.47619048
947.08,5.67,,5.29,,5.13,,93.29805996,,90.47619048
947.81,5.67,,5.29,,6.13,,93.29805996,,108.1128748
948.54,3.67,,6.29,,5.13,,171.3896458,,139.7820163
949.28,6.67,,8.29,,4.13,,124.2878561,,61.91904048
950.01,4.67,,5.29,,5.13,,113.2762313,,109.8501071
950.74,6.67,,7.29,,7.13,,109.2953523,,106.8965517
951.47,7.67,,5.29,,6.13,,68.97001304,,79.92177314
952.21,5.67,,6.29,,7.13,,110.9347443,,125.7495591
952.94,5.67,,5.29,,6.13,,93.29805996,,108.1128748
953.67,7.67,,7.29,,6.13,,95.04563233,,79.92177314
954.4,7.67,,4.29,,5.13,,55.93220339,,66.88396349
955.14,7.67,,5.29,,7.13,,68.97001304,,92.95958279
955.87,5.67,,5.29,,7.13,,93.29805996,,125.7495591
956.6,8.67,,7.29,,4.13,,84.08304498,,47.6355248
957.33,8.67,,6.29,,8.13,,72.54901961,,93.7716263
958.06,9.67,,9.29,,10.13,,96.07032058,,104.7569804
958.8,12.67,,11.29,,10.13,,89.10812944,,79.95264404
959.53,12.67,,12.29,,10.13,,97.00078927,,79.95264404
960.26,14.67,,14.29,,14.13,,97.40967962,,96.3190184
960.99,15.67,,16.29,,18.13,,103.956605,,115.6987875
961.72,18.67,,19.29,,17.13,,103.3208356,,91.75147295
962.45,24.67,,27.29,,22.13,,110.6201865,,89.70409404
963.19,29.67,,28.29,,34.13,,95.34883721,,115.0320189
963.92,39.67,,45.29,,45.13,,114.1668767,,113.7635493
964.65,63.67,,64.29,,66.13,,100.973771,,103.8636721
965.38,155.67,,156.29,,169.13,,100.3982784,,108.6464958
966.11,483.67,,485.29,,505.13,,100.3349391,,104.4369095
966.84,338.67,,311.29,,317.13,,91.9154339,,93.63982638
967.57,128.67,,120.29,,122.13,,93.48721536,,94.91723012
968.3,63.67,,63.29,,67.13,,99.40317261,,105.4342705
969.03,40.67,,40.29,,37.13,,99.06565036,,91.29579543
969.76,32.67,,29.29,,27.13,,89.65411693,,83.04254668
970.49,20.67,,19.29,,21.13,,93.32365747,,102.2254475
971.22,16.67,,19.29,,18.13,,115.7168566,,108.7582484
971.95,14.67,,16.29,,13.13,,111.0429448,,89.50238582
972.68,12.67,,10.29,,12.13,,81.21546961,,95.73796369
973.41,10.67,,13.29,,12.13,,124.5548266,,113.683224
974.14,11.67,,10.29,,10.13,,88.1748072,,86.80377035
974.87,9.67,,9.29,,10.13,,96.07032058,,104.7569804
975.6,9.67,,11.29,,9.13,,116.7528438,,94.41571872
976.33,6.67,,8.29,,11.13,,124.2878561,,166.8665667
977.06,9.67,,11.29,,10.13,,116.7528438,,104.7569804
977.79,15.67,,12.29,,12.13,,78.43012125,,77.4090619
978.52,31.67,,33.29,,38.13,,105.115251,,120.3978529
979.25,40.67,,40.29,,38.13,,99.06565036,,93.75461028
979.98,21.67,,21.29,,17.13,,98.24642363,,79.04937702
980.71,11.67,,11.29,,12.13,,96.74378749,,103.9417309
981.44,7.67,,8.29,,7.13,,108.083442,,92.95958279
982.17,8.67,,4.29,,7.13,,49.48096886,,82.23760092
982.9,6.67,,5.29,,5.13,,79.31034483,,76.91154423
983.63,5.67,,5.29,,5.13,,93.29805996,,90.47619048
984.36,5.67,,6.29,,4.13,,110.9347443,,72.83950617
985.09,3.67,,4.29,,5.13,,116.893733,,139.7820163
985.81,-1.33,,1.29,,1.13,,-96.9924812,,-84.96240602
986.54,1.67,,0.29,,-0.87,,17.36526946,,-52.09580838
987.27,-0.33,,-0.71,,1.13,,215.1515152,,-342.4242424
988,7.67,,2.29,,2.13,,29.85658409,,27.77053455
988.73,8.67,,1.29,,0.13,,14.87889273,,1.499423299
989.46,6.67,,1.29,,-1.87,,19.34032984,,-28.03598201
990.18,8.67,,1.29,,1.13,,14.87889273,,13.03344867
990.91,9.67,,3.29,,0.13,,34.02275078,,1.344364012
991.64,12.67,,2.29,,1.13,,18.074191,,8.918705604
992.37,5.67,,1.29,,2.13,,22.75132275,,37.56613757
993.1,2.67,,3.29,,6.13,,123.2209738,,229.588015
993.82,4.67,,4.29,,6.13,,91.86295503,,131.2633833
994.55,4.67,,4.29,,4.13,,91.86295503,,88.43683084
995.28,3.67,,4.29,,3.13,,116.893733,,85.28610354
996.01,4.67,,5.29,,2.13,,113.2762313,,45.61027837
996.73,3.67,,1.29,,0.13,,35.14986376,,3.542234332
997.46,2.67,,1.29,,0.13,,48.31460674,,4.868913858
998.19,1.67,,2.29,,3.13,,137.1257485,,187.4251497
998.92,1.67,,3.29,,1.13,,197.005988,,67.66467066
