,INTENSIDAD,,,,,,TRANSMITANCIA,,
Longitud de Onda,Hg-Lamp,,Cristal Chico,,Cristal Gde,,Chico,,Gde.
,,,,,,,,,
680.3,5.67,,7.29,,5.13,,128.5714286,,90.47619048
681.06,5.67,,6.29,,6.13,,110.9347443,,108.1128748
681.82,8.67,,9.29,,7.13,,107.1510957,,82.23760092
682.58,7.67,,7.29,,9.13,,95.04563233,,119.0352021
683.34,4.67,,9.29,,8.13,,198.9293362,,174.0899358
684.1,7.67,,7.29,,8.13,,95.04563233,,105.9973924
684.86,9.67,,9.29,,9.13,,96.07032058,,94.41571872
685.62,9.67,,9.29,,11.13,,96.07032058,,115.098242
686.38,11.67,,10.29,,13.13,,88.1748072,,112.5107112
687.14,20.67,,20.29,,21.13,,98.16158684,,102.2254475
687.9,33.67,,30.29,,32.13,,89.96138996,,95.42619543
688.66,17.67,,17.29,,16.13,,97.84946237,,91.28466327
689.42,16.67,,17.29,,21.13,,103.7192561,,126.7546491
690.18,29.67,,32.29,,30.13,,108.8304685,,101.5503876
690.94,156.67,,158.29,,164.13,,101.0340206,,104.7616008
691.7,175.67,,184.29,,189.13,,104.9069278,,107.6620937
692.46,44.67,,48.29,,51.13,,108.1038728,,114.4616073
693.22,29.67,,27.29,,27.13,,91.97842939,,91.43916414
693.98,36.67,,35.29,,35.13,,96.23670575,,95.80038178
694.74,41.67,,43.29,,46.13,,103.887689,,110.7031437
695.5,96.67,,105.29,,110.13,,108.9169339,,113.9236578
696.26,821.67,,841.29,,867.13,,102.3878199,,105.5326348
697.02,3736.67,,3755.29,,3849.13,,100.4983046,,103.0096316
697.78,1789.67,,1818.29,,1888.13,,101.5991775,,105.5015729
698.54,278.67,,291.29,,293.13,,104.528654,,105.1889331
699.3,72.67,,71.29,,73.13,,98.10100454,,100.6329985
700.06,34.67,,38.29,,36.13,,110.4413037,,104.2111335
700.82,22.67,,22.29,,24.13,,98.32377592,,106.4402294
701.58,16.67,,18.29,,18.13,,109.7180564,,108.7582484
702.34,16.67,,20.29,,21.13,,121.7156569,,126.7546491
703.09,26.67,,29.29,,30.13,,109.823772,,112.9733783
703.85,34.67,,33.29,,38.13,,96.0196135,,109.9798096
704.61,22.67,,23.29,,23.13,,102.7348919,,102.0291134
705.37,28.67,,26.29,,29.13,,91.69863969,,101.6044646
706.13,107.67,,111.29,,115.13,,103.362125,,106.9285781
706.89,816.67,,851.29,,872.13,,104.2391664,,106.7909927
707.64,996.67,,1014.29,,1047.13,,101.7678871,,105.0628593
708.4,220.67,,225.29,,231.13,,102.093624,,104.7401097
709.16,72.67,,75.29,,80.13,,103.6053392,,110.2655841
709.92,35.67,,37.29,,40.13,,104.5416316,,112.5035043
710.68,20.67,,20.29,,20.13,,98.16158684,,97.38751814
711.44,16.67,,15.29,,17.13,,91.72165567,,102.7594481
712.19,11.67,,12.29,,13.13,,105.3127678,,112.5107112
712.95,13.67,,13.29,,12.13,,97.2201902,,88.73445501
713.71,14.67,,16.29,,14.13,,111.0429448,,96.3190184
714.47,43.67,,45.29,,49.13,,103.7096405,,112.5028624
715.22,150.67,,147.29,,158.13,,97.7566868,,104.9512179
715.98,65.67,,69.29,,70.13,,105.5124105,,106.7915334
716.74,17.67,,19.29,,22.13,,109.1680815,,125.2405207
717.5,11.67,,13.29,,12.13,,113.8817481,,103.9417309
718.25,9.67,,9.29,,11.13,,96.07032058,,115.098242
719.01,8.67,,8.29,,11.13,,95.61707036,,128.3737024
719.77,7.67,,8.29,,8.13,,108.083442,,105.9973924
720.53,12.67,,12.29,,13.13,,97.00078927,,103.6306235
721.28,17.67,,17.29,,15.13,,97.84946237,,85.62535371
722.04,15.67,,12.29,,12.13,,78.43012125,,77.4090619
722.8,11.67,,11.29,,11.13,,96.74378749,,95.37275064
723.55,12.67,,13.29,,11.13,,104.8934491,,87.84530387
724.31,13.67,,10.29,,12.13,,75.27432334,,88.73445501
725.07,13.67,,16.29,,11.13,,119.1660571,,81.41916606
725.82,17.67,,23.29,,24.13,,131.8053198,,136.5591398
726.58,68.67,,66.29,,69.13,,96.53414883,,100.6698704
727.34,493.67,,506.29,,528.13,,102.5563636,,106.9803715
728.09,838.67,,821.29,,869.13,,97.92767119,,103.631941
728.85,196.67,,203.29,,209.13,,103.3660446,,106.3354858
729.6,46.67,,44.29,,46.13,,94.90036426,,98.84293979
730.36,22.67,,23.29,,29.13,,102.7348919,,128.4958094
731.12,19.67,,23.29,,21.13,,118.4036604,,107.4224708
731.87,25.67,,27.29,,24.13,,106.3108687,,94.00077912
732.63,19.67,,18.29,,21.13,,92.98423996,,107.4224708
733.38,17.67,,20.29,,23.13,,114.8273911,,130.8998302
734.14,22.67,,25.29,,21.13,,111.557124,,93.20688134
734.9,25.67,,25.29,,25.13,,98.51967277,,97.89637709
735.65,36.67,,37.29,,42.13,,101.6907554,,114.8895555
736.41,41.67,,46.29,,43.13,,111.087113,,103.5037197
